chrom	length	bases	mean	min	max
ptg000001l_1	456554	6442254	14.11	0	54
ptg000001l_1_region	456554	6442254	14.11	0	54
ptg000003l_1	661806	6403109	9.68	0	30
ptg000003l_1_region	661806	6403109	9.68	0	30
ptg000004l_1	675249	2213699	3.28	0	36
ptg000004l_1_region	675249	2213699	3.28	0	36
ptg000006l_1	1353028	14081805	10.41	0	43
ptg000006l_1_region	1353028	14081805	10.41	0	43
ptg000007l_1	555775	6041645	10.87	0	40
ptg000007l_1_region	555775	6041645	10.87	0	40
ptg000008l_1	206579	1802004	8.72	0	30
ptg000008l_1_region	206579	1802004	8.72	0	30
ptg000009l_1	129473	367463	2.84	0	34
ptg000009l_1_region	129473	367463	2.84	0	34
ptg000010l_1	1544933	16336709	10.57	0	43
ptg000010l_1_region	1544933	16336709	10.57	0	43
ptg000011l_1	262797	1677363	6.38	0	23
ptg000011l_1_region	262797	1677363	6.38	0	23
ptg000012l_1	454269	4613259	10.16	0	33
ptg000012l_1_region	454269	4613259	10.16	0	33
ptg000013l_1	947635	8394283	8.86	0	34
ptg000013l_1_region	947635	8394283	8.86	0	34
ptg000014l_1	199776	4944809	24.75	0	2028
ptg000014l_1_region	199776	4944809	24.75	0	2028
ptg000015l_1	1045151	8279063	7.92	0	28
ptg000015l_1_region	1045151	8279063	7.92	0	28
ptg000016l_1	1989504	18618770	9.36	0	28
ptg000016l_1_region	1989504	18618770	9.36	0	28
ptg000017l_1	1102765	10828540	9.82	0	49
ptg000017l_1_region	1102765	10828540	9.82	0	49
ptg000019l_1	410913	2893201	7.04	0	22
ptg000019l_1_region	410913	2893201	7.04	0	22
ptg000020l_1	166851	2071364	12.41	1	55
ptg000020l_1_region	166851	2071364	12.41	1	55
ptg000021l_1	2311804	24357372	10.54	0	53
ptg000021l_1_region	2311804	24357372	10.54	0	53
ptg000022l_1	195118	1488827	7.63	0	20
ptg000022l_1_region	195118	1488827	7.63	0	20
ptg000023l_1	1562883	13594354	8.70	0	47
ptg000023l_1_region	1562883	13594354	8.70	0	47
ptg000024l_1	289217	2505148	8.66	0	25
ptg000024l_1_region	289217	2505148	8.66	0	25
ptg000025l_1	259844	1318164	5.07	0	24
ptg000025l_1_region	259844	1318164	5.07	0	24
ptg000027l_1	200354	2012149	10.04	0	23
ptg000027l_1_region	200354	2012149	10.04	0	23
ptg000028l_1	674488	6488539	9.62	0	34
ptg000028l_1_region	674488	6488539	9.62	0	34
ptg000029l_1	82275	807205	9.81	0	35
ptg000029l_1_region	82275	807205	9.81	0	35
ptg000030l_1	26654	224713	8.43	0	19
ptg000030l_1_region	26654	224713	8.43	0	19
ptg000031l_1	902559	8569812	9.50	0	31
ptg000031l_1_region	902559	8569812	9.50	0	31
ptg000032l_1	550934	5318745	9.65	0	28
ptg000032l_1_region	550934	5318745	9.65	0	28
ptg000033l_1	743094	7215453	9.71	0	46
ptg000033l_1_region	743094	7215453	9.71	0	46
ptg000036l_1	438715	3928011	8.95	0	34
ptg000036l_1_region	438715	3928011	8.95	0	34
ptg000037l_1	459563	3791364	8.25	0	40
ptg000037l_1_region	459563	3791364	8.25	0	40
ptg000039l_1	109028	737026	6.76	0	19
ptg000039l_1_region	109028	737026	6.76	0	19
ptg000041l_1	230595	1463282	6.35	0	30
ptg000041l_1_region	230595	1463282	6.35	0	30
ptg000042l_1	379713	3332126	8.78	0	25
ptg000042l_1_region	379713	3332126	8.78	0	25
ptg000043l_1	713520	8017396	11.24	0	37
ptg000043l_1_region	713520	8017396	11.24	0	37
ptg000045l_1	372665	2961515	7.95	0	21
ptg000045l_1_region	372665	2961515	7.95	0	21
