chrom	length	bases	mean	min	max
ptg000001l_1	224559	745816	3.32	0	9
ptg000001l_1_region	224559	745816	3.32	0	9
ptg000002l_1	466864	1602352	3.43	0	22
ptg000002l_1_region	466864	1602352	3.43	0	22
ptg000003l_1	403059	1422497	3.53	0	13
ptg000003l_1_region	403059	1422497	3.53	0	13
ptg000004l_1	1905946	6161737	3.23	0	11
ptg000004l_1_region	1905946	6161737	3.23	0	11
ptg000007l_1	668351	1703698	2.55	0	11
ptg000007l_1_region	668351	1703698	2.55	0	11
ptg000009l_1	1309717	4291060	3.28	0	15
ptg000009l_1_region	1309717	4291060	3.28	0	15
ptg000010l_1	1379608	4892216	3.55	0	16
ptg000010l_1_region	1379608	4892216	3.55	0	16
ptg000011l_1	1181895	4207735	3.56	0	13
ptg000011l_1_region	1181895	4207735	3.56	0	13
ptg000012l_1	2003601	6813529	3.40	0	19
ptg000012l_1_region	2003601	6813529	3.40	0	19
ptg000014l_1	496174	1434303	2.89	0	12
ptg000014l_1_region	496174	1434303	2.89	0	12
ptg000017l_1	337928	1728969	5.12	0	30
ptg000017l_1_region	337928	1728969	5.12	0	30
ptg000018l_1	1171150	3489340	2.98	0	18
ptg000018l_1_region	1171150	3489340	2.98	0	18
ptg000020l_1	838433	2786810	3.32	0	13
ptg000020l_1_region	838433	2786810	3.32	0	13
ptg000022l_1	763729	1731982	2.27	0	9
ptg000022l_1_region	763729	1731982	2.27	0	9
ptg000023l_1	3419222	12176456	3.56	0	16
ptg000023l_1_region	3419222	12176456	3.56	0	16
ptg000024l_1	3723909	15293490	4.11	0	19
ptg000024l_1_region	3723909	15293490	4.11	0	19
ptg000025l_1	2438521	8454434	3.47	0	17
ptg000025l_1_region	2438521	8454434	3.47	0	17
ptg000026l_1	567458	1661566	2.93	0	14
ptg000026l_1_region	567458	1661566	2.93	0	14
ptg000027l_1	2516055	7673534	3.05	0	15
ptg000027l_1_region	2516055	7673534	3.05	0	15
ptg000028l_1	1739603	8151272	4.69	0	42
ptg000028l_1_region	1739603	8151272	4.69	0	42
ptg000029l_1	378547	2740225	7.24	0	59
ptg000029l_1_region	378547	2740225	7.24	0	59
ptg000031l_1	1937049	7266223	3.75	0	14
ptg000031l_1_region	1937049	7266223	3.75	0	14
ptg000032l_1	787133	2279577	2.90	0	12
ptg000032l_1_region	787133	2279577	2.90	0	12
ptg000034l_1	640064	2347444	3.67	0	14
ptg000034l_1_region	640064	2347444	3.67	0	14
ptg000035l_1	1094022	4095121	3.74	0	22
ptg000035l_1_region	1094022	4095121	3.74	0	22
ptg000036l_1	672284	2014671	3.00	0	11
ptg000036l_1_region	672284	2014671	3.00	0	11
ptg000037l_1	600481	1317110	2.19	0	10
ptg000037l_1_region	600481	1317110	2.19	0	10
ptg000040l_1	1733005	6087006	3.51	0	21
ptg000040l_1_region	1733005	6087006	3.51	0	21
ptg000041l_1	154533	436977	2.83	0	8
ptg000041l_1_region	154533	436977	2.83	0	8
ptg000043l_1	1204965	4025964	3.34	0	11
ptg000043l_1_region	1204965	4025964	3.34	0	11
ptg000044l_1	94748	55738	0.59	0	5
ptg000044l_1_region	94748	55738	0.59	0	5
ptg000045l_1	492275	975282	1.98	0	39
ptg000045l_1_region	492275	975282	1.98	0	39
ptg000046l_1	327139	852961	2.61	0	8
ptg000046l_1_region	327139	852961	2.61	0	8
ptg000047l_1	872861	2647541	3.03	0	11
ptg000047l_1_region	872861	2647541	3.03	0	11
ptg000048l_1	267187	966268	3.62	0	10
ptg000048l_1_region	267187	966268	3.62	0	10
ptg000049l_1	2613172	10011617	3.83	0	17
ptg000049l_1_region	2613172	10011617	3.83	0	17
ptg000050l_1	181505	425572	2.34	0	10
ptg000050l_1_region	181505	425572	2.34	0	10
ptg000051l_1	361702	1126177	3.11	0	9
ptg000051l_1_region	361702	1126177	3.11	0	9
ptg000052l_1	1893344	4903333	2.59	0	15
ptg000052l_1_region	1893344	4903333	2.59	0	15
ptg000053l_1	249816	830884	3.33	0	10
ptg000053l_1_region	249816	830884	3.33	0	10
ptg000054l_1	2153890	7836034	3.64	0	17
ptg000054l_1_region	2153890	7836034	3.64	0	17
ptg000055l_1	2483671	8686830	3.50	0	24
ptg000055l_1_region	2483671	8686830	3.50	0	24
ptg000056l_1	872788	2440985	2.80	0	11
ptg000056l_1_region	872788	2440985	2.80	0	11
ptg000057l_1	1766985	6878291	3.89	0	32
ptg000057l_1_region	1766985	6878291	3.89	0	32
ptg000058l_1	370373	1136378	3.07	0	10
ptg000058l_1_region	370373	1136378	3.07	0	10
ptg000059l_1	410718	1282175	3.12	0	11
ptg000059l_1_region	410718	1282175	3.12	0	11
ptg000060l_1	527093	2136826	4.05	0	13
ptg000060l_1_region	527093	2136826	4.05	0	13
ptg000061l_1	3211763	11183412	3.48	0	15
ptg000061l_1_region	3211763	11183412	3.48	0	15
ptg000062l_1	1612754	4338089	2.69	0	19
ptg000062l_1_region	1612754	4338089	2.69	0	19
ptg000063l_1	378872	976874	2.58	0	12
ptg000063l_1_region	378872	976874	2.58	0	12
ptg000065l_1	795592	2074394	2.61	0	13
ptg000065l_1_region	795592	2074394	2.61	0	13
ptg000066l_1	113674	194315	1.71	0	9
ptg000066l_1_region	113674	194315	1.71	0	9
ptg000067l_1	567839	1551431	2.73	0	11
ptg000067l_1_region	567839	1551431	2.73	0	11
ptg000068l_1	1200107	3683821	3.07	0	12
ptg000068l_1_region	1200107	3683821	3.07	0	12
ptg000069l_1	440038	935201	2.13	0	7
ptg000069l_1_region	440038	935201	2.13	0	7
ptg000070l_1	635141	1742462	2.74	0	9
ptg000070l_1_region	635141	1742462	2.74	0	9
ptg000071l_1	492128	1255833	2.55	0	9
ptg000071l_1_region	492128	1255833	2.55	0	9
ptg000073l_1	596027	2375657	3.99	0	13
ptg000073l_1_region	596027	2375657	3.99	0	13
ptg000075l_1	1362389	3596143	2.64	0	16
ptg000075l_1_region	1362389	3596143	2.64	0	16
ptg000078l_1	1849515	6538976	3.54	0	14
ptg000078l_1_region	1849515	6538976	3.54	0	14
ptg000079l_1	1553048	5028270	3.24	0	12
ptg000079l_1_region	1553048	5028270	3.24	0	12
ptg000080l_1	1248482	3803824	3.05	0	12
ptg000080l_1_region	1248482	3803824	3.05	0	12
ptg000082l_1	1741085	5216295	3.00	0	11
ptg000082l_1_region	1741085	5216295	3.00	0	11
ptg000083l_1	944999	3141639	3.32	0	12
ptg000083l_1_region	944999	3141639	3.32	0	12
ptg000084l_1	3696174	13405050	3.63	0	16
ptg000084l_1_region	3696174	13405050	3.63	0	16
ptg000085l_1	1772517	6137283	3.46	0	18
ptg000085l_1_region	1772517	6137283	3.46	0	18
ptg000086l_1	668477	2282425	3.41	0	11
ptg000086l_1_region	668477	2282425	3.41	0	11
ptg000087l_1	307370	888275	2.89	0	9
ptg000087l_1_region	307370	888275	2.89	0	9
ptg000088l_1	2675700	8807575	3.29	0	23
ptg000088l_1_region	2675700	8807575	3.29	0	23
ptg000089l_1	1527381	5719473	3.74	0	16
ptg000089l_1_region	1527381	5719473	3.74	0	16
ptg000090l_1	1489912	5432000	3.65	0	17
ptg000090l_1_region	1489912	5432000	3.65	0	17
ptg000091l_1	410195	1186519	2.89	0	9
ptg000091l_1_region	410195	1186519	2.89	0	9
ptg000092l_1	2127149	7524273	3.54	0	12
ptg000092l_1_region	2127149	7524273	3.54	0	12
ptg000093l_1	477205	1536708	3.22	0	10
ptg000093l_1_region	477205	1536708	3.22	0	10
ptg000095l_1	443974	1811501	4.08	0	19
ptg000095l_1_region	443974	1811501	4.08	0	19
ptg000096l_1	1811472	7112808	3.93	0	13
ptg000096l_1_region	1811472	7112808	3.93	0	13
ptg000098l_1	1463058	4771144	3.26	0	15
ptg000098l_1_region	1463058	4771144	3.26	0	15
ptg000101l_1	568537	2517307	4.43	0	21
ptg000101l_1_region	568537	2517307	4.43	0	21
ptg000102l_1	306991	862517	2.81	0	12
ptg000102l_1_region	306991	862517	2.81	0	12
ptg000103l_1	738690	2497558	3.38	0	11
ptg000103l_1_region	738690	2497558	3.38	0	11
ptg000105l_1	4970350	20078653	4.04	0	40
ptg000105l_1_region	4970350	20078653	4.04	0	40
ptg000106l_1	830955	2142738	2.58	0	14
ptg000106l_1_region	830955	2142738	2.58	0	14
ptg000107l_1	610488	2859736	4.68	0	19
ptg000107l_1_region	610488	2859736	4.68	0	19
ptg000108l_1	524569	2145918	4.09	0	13
ptg000108l_1_region	524569	2145918	4.09	0	13
ptg000109l_1	2434425	9840740	4.04	0	16
ptg000109l_1_region	2434425	9840740	4.04	0	16
ptg000110l_1	694748	2287810	3.29	0	12
ptg000110l_1_region	694748	2287810	3.29	0	12
ptg000111l_1	1886279	8261199	4.38	0	30
ptg000111l_1_region	1886279	8261199	4.38	0	30
ptg000112l_1	1407615	5358438	3.81	0	15
ptg000112l_1_region	1407615	5358438	3.81	0	15
ptg000113l_1	873124	3161669	3.62	0	18
ptg000113l_1_region	873124	3161669	3.62	0	18
ptg000114l_1	2003064	7496989	3.74	0	16
ptg000114l_1_region	2003064	7496989	3.74	0	16
ptg000115l_1	94480	256143	2.71	0	10
ptg000115l_1_region	94480	256143	2.71	0	10
ptg000116l_1	549585	1437386	2.62	0	13
ptg000116l_1_region	549585	1437386	2.62	0	13
ptg000117l_1	999763	2906107	2.91	0	12
ptg000117l_1_region	999763	2906107	2.91	0	12
ptg000118l_1	589492	1749367	2.97	0	15
ptg000118l_1_region	589492	1749367	2.97	0	15
ptg000120l_1	2480957	8961585	3.61	0	14
ptg000120l_1_region	2480957	8961585	3.61	0	14
ptg000121l_1	1320917	6428522	4.87	0	61
ptg000121l_1_region	1320917	6428522	4.87	0	61
ptg000123l_1	915833	3869259	4.22	0	25
ptg000123l_1_region	915833	3869259	4.22	0	25
ptg000124l_1	291375	729223	2.50	0	17
ptg000124l_1_region	291375	729223	2.50	0	17
ptg000126l_1	1277451	4329502	3.39	0	13
ptg000126l_1_region	1277451	4329502	3.39	0	13
ptg000127l_1	919908	2647840	2.88	0	41
ptg000127l_1_region	919908	2647840	2.88	0	41
ptg000128l_1	128665	289526	2.25	0	10
ptg000128l_1_region	128665	289526	2.25	0	10
ptg000130l_1	3405925	12944602	3.80	0	17
ptg000130l_1_region	3405925	12944602	3.80	0	17
ptg000132l_1	690063	1905445	2.76	0	12
ptg000132l_1_region	690063	1905445	2.76	0	12
ptg000133l_1	358350	1337916	3.73	0	11
ptg000133l_1_region	358350	1337916	3.73	0	11
ptg000134l_1	524336	1865125	3.56	0	15
ptg000134l_1_region	524336	1865125	3.56	0	15
ptg000135l_1	832229	3465348	4.16	0	85
ptg000135l_1_region	832229	3465348	4.16	0	85
ptg000139l_1	208592	327573	1.57	0	25
ptg000139l_1_region	208592	327573	1.57	0	25
ptg000141l_1	303809	1005396	3.31	0	12
ptg000141l_1_region	303809	1005396	3.31	0	12
ptg000142l_1	2190402	6712404	3.06	0	12
ptg000142l_1_region	2190402	6712404	3.06	0	12
ptg000143l_1	883044	3394001	3.84	0	22
ptg000143l_1_region	883044	3394001	3.84	0	22
ptg000144l_1	2444314	9287505	3.80	0	17
ptg000144l_1_region	2444314	9287505	3.80	0	17
ptg000145l_1	11518	4653	0.40	0	1
ptg000145l_1_region	11518	4653	0.40	0	1
ptg000146l_1	7492590	24708202	3.30	0	15
ptg000146l_1_region	7492590	24708202	3.30	0	15
ptg000149l_1	909849	1811566	1.99	0	16
ptg000149l_1_region	909849	1811566	1.99	0	16
ptg000151l_1	288085	840653	2.92	0	11
ptg000151l_1_region	288085	840653	2.92	0	11
ptg000152l_1	1331212	3833713	2.88	0	11
ptg000152l_1_region	1331212	3833713	2.88	0	11
ptg000153l_1	375346	703895	1.88	0	14
ptg000153l_1_region	375346	703895	1.88	0	14
ptg000154l_1	452370	912398	2.02	0	8
ptg000154l_1_region	452370	912398	2.02	0	8
ptg000156l_1	635326	1842067	2.90	0	11
ptg000156l_1_region	635326	1842067	2.90	0	11
