chrom	length	bases	mean	min	max
ptg000001l_1	224559	1127917	5.02	0	20
ptg000001l_1_region	224559	1127917	5.02	0	20
ptg000002l_1	466864	2579381	5.52	0	22
ptg000002l_1_region	466864	2579381	5.52	0	22
ptg000003l_1	403059	2041851	5.07	0	31
ptg000003l_1_region	403059	2041851	5.07	0	31
ptg000004l_1	1905946	9011344	4.73	0	17
ptg000004l_1_region	1905946	9011344	4.73	0	17
ptg000007l_1	668351	3115518	4.66	0	23
ptg000007l_1_region	668351	3115518	4.66	0	23
ptg000009l_1	1309717	6399167	4.89	0	20
ptg000009l_1_region	1309717	6399167	4.89	0	20
ptg000010l_1	1379608	6635520	4.81	0	22
ptg000010l_1_region	1379608	6635520	4.81	0	22
ptg000011l_1	1181895	6371760	5.39	0	16
ptg000011l_1_region	1181895	6371760	5.39	0	16
ptg000012l_1	2003601	7775748	3.88	0	23
ptg000012l_1_region	2003601	7775748	3.88	0	23
ptg000014l_1	496174	2271757	4.58	0	25
ptg000014l_1_region	496174	2271757	4.58	0	25
ptg000017l_1	337928	2303227	6.82	0	40
ptg000017l_1_region	337928	2303227	6.82	0	40
ptg000018l_1	1171150	5208808	4.45	0	15
ptg000018l_1_region	1171150	5208808	4.45	0	15
ptg000020l_1	838433	3812189	4.55	0	19
ptg000020l_1_region	838433	3812189	4.55	0	19
ptg000022l_1	763729	2446062	3.20	0	34
ptg000022l_1_region	763729	2446062	3.20	0	34
ptg000023l_1	3419222	17689104	5.17	0	21
ptg000023l_1_region	3419222	17689104	5.17	0	21
ptg000024l_1	3723909	19862054	5.33	0	22
ptg000024l_1_region	3723909	19862054	5.33	0	22
ptg000025l_1	2438521	12819456	5.26	0	20
ptg000025l_1_region	2438521	12819456	5.26	0	20
ptg000026l_1	567458	2984079	5.26	0	24
ptg000026l_1_region	567458	2984079	5.26	0	24
ptg000027l_1	2516055	12073889	4.80	0	20
ptg000027l_1_region	2516055	12073889	4.80	0	20
ptg000028l_1	1739603	12764180	7.34	0	98
ptg000028l_1_region	1739603	12764180	7.34	0	98
ptg000029l_1	378547	3829866	10.12	0	38
ptg000029l_1_region	378547	3829866	10.12	0	38
ptg000031l_1	1937049	10659645	5.50	0	23
ptg000031l_1_region	1937049	10659645	5.50	0	23
ptg000032l_1	787133	3651672	4.64	0	20
ptg000032l_1_region	787133	3651672	4.64	0	20
ptg000034l_1	640064	3429765	5.36	0	18
ptg000034l_1_region	640064	3429765	5.36	0	18
ptg000035l_1	1094022	5678617	5.19	0	32
ptg000035l_1_region	1094022	5678617	5.19	0	32
ptg000036l_1	672284	2781115	4.14	0	16
ptg000036l_1_region	672284	2781115	4.14	0	16
ptg000037l_1	600481	2753225	4.59	0	17
ptg000037l_1_region	600481	2753225	4.59	0	17
ptg000040l_1	1733005	8744868	5.05	0	20
ptg000040l_1_region	1733005	8744868	5.05	0	20
ptg000041l_1	154533	660283	4.27	0	12
ptg000041l_1_region	154533	660283	4.27	0	12
ptg000043l_1	1204965	6320020	5.24	0	20
ptg000043l_1_region	1204965	6320020	5.24	0	20
ptg000044l_1	94748	243258	2.57	0	16
ptg000044l_1_region	94748	243258	2.57	0	16
ptg000045l_1	492275	1535495	3.12	0	42
ptg000045l_1_region	492275	1535495	3.12	0	42
ptg000046l_1	327139	1393822	4.26	0	17
ptg000046l_1_region	327139	1393822	4.26	0	17
ptg000047l_1	872861	4664178	5.34	0	20
ptg000047l_1_region	872861	4664178	5.34	0	20
ptg000048l_1	267187	1319850	4.94	0	12
ptg000048l_1_region	267187	1319850	4.94	0	12
ptg000049l_1	2613172	14520379	5.56	0	27
ptg000049l_1_region	2613172	14520379	5.56	0	27
ptg000050l_1	181505	575134	3.17	0	13
ptg000050l_1_region	181505	575134	3.17	0	13
ptg000051l_1	361702	1639993	4.53	0	14
ptg000051l_1_region	361702	1639993	4.53	0	14
ptg000052l_1	1893344	8275414	4.37	0	17
ptg000052l_1_region	1893344	8275414	4.37	0	17
ptg000053l_1	249816	1170717	4.69	0	16
ptg000053l_1_region	249816	1170717	4.69	0	16
ptg000054l_1	2153890	11841965	5.50	0	22
ptg000054l_1_region	2153890	11841965	5.50	0	22
ptg000055l_1	2483671	12473053	5.02	0	21
ptg000055l_1_region	2483671	12473053	5.02	0	21
ptg000056l_1	872788	3930655	4.50	0	17
ptg000056l_1_region	872788	3930655	4.50	0	17
ptg000057l_1	1766985	9301164	5.26	0	44
ptg000057l_1_region	1766985	9301164	5.26	0	44
ptg000058l_1	370373	1586069	4.28	0	13
ptg000058l_1_region	370373	1586069	4.28	0	13
ptg000059l_1	410718	1804556	4.39	0	19
ptg000059l_1_region	410718	1804556	4.39	0	19
ptg000060l_1	527093	2951902	5.60	0	29
ptg000060l_1_region	527093	2951902	5.60	0	29
ptg000061l_1	3211763	16599882	5.17	0	25
ptg000061l_1_region	3211763	16599882	5.17	0	25
ptg000062l_1	1612754	6832920	4.24	0	37
ptg000062l_1_region	1612754	6832920	4.24	0	37
ptg000063l_1	378872	1838133	4.85	0	17
ptg000063l_1_region	378872	1838133	4.85	0	17
ptg000065l_1	795592	3408460	4.28	0	17
ptg000065l_1_region	795592	3408460	4.28	0	17
ptg000066l_1	113674	294942	2.59	0	13
ptg000066l_1_region	113674	294942	2.59	0	13
ptg000067l_1	567839	2742684	4.83	0	15
ptg000067l_1_region	567839	2742684	4.83	0	15
ptg000068l_1	1200107	4567780	3.81	0	16
ptg000068l_1_region	1200107	4567780	3.81	0	16
ptg000069l_1	440038	1853684	4.21	0	14
ptg000069l_1_region	440038	1853684	4.21	0	14
ptg000070l_1	635141	2530468	3.98	0	23
ptg000070l_1_region	635141	2530468	3.98	0	23
ptg000071l_1	492128	2030788	4.13	0	14
ptg000071l_1_region	492128	2030788	4.13	0	14
ptg000073l_1	596027	2942800	4.94	0	18
ptg000073l_1_region	596027	2942800	4.94	0	18
ptg000075l_1	1362389	4060295	2.98	0	22
ptg000075l_1_region	1362389	4060295	2.98	0	22
ptg000078l_1	1849515	9409749	5.09	0	18
