chrom	length	bases	mean	min	max
ptg000001l_1	456554	9067864	19.86	0	105
ptg000001l_1_region	456554	9067864	19.86	0	105
ptg000003l_1	661806	9893644	14.95	0	44
ptg000003l_1_region	661806	9893644	14.95	0	44
ptg000004l_1	675249	4311370	6.38	0	40
ptg000004l_1_region	675249	4311370	6.38	0	40
ptg000006l_1	1353028	19659970	14.53	0	73
ptg000006l_1_region	1353028	19659970	14.53	0	73
ptg000007l_1	555775	9178693	16.52	0	50
ptg000007l_1_region	555775	9178693	16.52	0	50
ptg000008l_1	206579	2796550	13.54	0	74
ptg000008l_1_region	206579	2796550	13.54	0	74
ptg000009l_1	129473	1158147	8.95	0	72
ptg000009l_1_region	129473	1158147	8.95	0	72
ptg000010l_1	1544933	21824837	14.13	0	51
ptg000010l_1_region	1544933	21824837	14.13	0	51
ptg000011l_1	262797	5170688	19.68	0	133
ptg000011l_1_region	262797	5170688	19.68	0	133
ptg000012l_1	454269	6633771	14.60	0	65
ptg000012l_1_region	454269	6633771	14.60	0	65
ptg000013l_1	947635	12600277	13.30	0	57
ptg000013l_1_region	947635	12600277	13.30	0	57
ptg000014l_1	199776	7195312	36.02	0	3089
ptg000014l_1_region	199776	7195312	36.02	0	3089
ptg000015l_1	1045151	11733322	11.23	0	37
ptg000015l_1_region	1045151	11733322	11.23	0	37
ptg000016l_1	1989504	26411856	13.28	0	61
ptg000016l_1_region	1989504	26411856	13.28	0	61
ptg000017l_1	1102765	14858842	13.47	0	44
ptg000017l_1_region	1102765	14858842	13.47	0	44
ptg000019l_1	410913	4262684	10.37	0	37
ptg000019l_1_region	410913	4262684	10.37	0	37
ptg000020l_1	166851	3787985	22.70	0	78
ptg000020l_1_region	166851	3787985	22.70	0	78
ptg000021l_1	2311804	34359138	14.86	0	100
ptg000021l_1_region	2311804	34359138	14.86	0	100
ptg000022l_1	195118	2401602	12.31	0	26
ptg000022l_1_region	195118	2401602	12.31	0	26
ptg000023l_1	1562883	20138174	12.89	0	69
ptg000023l_1_region	1562883	20138174	12.89	0	69
ptg000024l_1	289217	3283406	11.35	1	35
ptg000024l_1_region	289217	3283406	11.35	1	35
ptg000025l_1	259844	2503979	9.64	0	53
ptg000025l_1_region	259844	2503979	9.64	0	53
ptg000027l_1	200354	2894426	14.45	0	38
ptg000027l_1_region	200354	2894426	14.45	0	38
ptg000028l_1	674488	8647720	12.82	0	50
ptg000028l_1_region	674488	8647720	12.82	0	50
ptg000029l_1	82275	1271450	15.45	0	39
ptg000029l_1_region	82275	1271450	15.45	0	39
ptg000030l_1	26654	257490	9.66	0	18
ptg000030l_1_region	26654	257490	9.66	0	18
ptg000031l_1	902559	12416011	13.76	0	49
ptg000031l_1_region	902559	12416011	13.76	0	49
ptg000032l_1	550934	7997786	14.52	0	41
ptg000032l_1_region	550934	7997786	14.52	0	41
ptg000033l_1	743094	10579662	14.24	0	35
ptg000033l_1_region	743094	10579662	14.24	0	35
ptg000036l_1	438715	5517103	12.58	0	50
ptg000036l_1_region	438715	5517103	12.58	0	50
ptg000037l_1	459563	5589278	12.16	0	44
ptg000037l_1_region	459563	5589278	12.16	0	44
ptg000039l_1	109028	1304779	11.97	0	27
ptg000039l_1_region	109028	1304779	11.97	0	27
ptg000041l_1	230595	2495921	10.82	0	37
ptg000041l_1_region	230595	2495921	10.82	0	37
ptg000042l_1	379713	5065315	13.34	0	38
ptg000042l_1_region	379713	5065315	13.34	0	38
ptg000043l_1	713520	11941977	16.74	0	50
ptg000043l_1_region	713520	11941977	16.74	0	50
ptg000045l_1	372665	4013946	10.77	0	32
ptg000045l_1_region	372665	4013946	10.77	0	32
ptg000046l_1	3287143	46363425	14.10	0	94
ptg000046l_1_region	3287143	46363425	14.10	0	94
ptg000048l_1	881716	12824676	14.55	0	43
ptg000048l_1_region	881716	12824676	14.55	0	43
ptg000049l_1	2356921	54629478	23.18	0	310
ptg000049l_1_region	2356921	54629478	23.18	0	310
ptg000050l_1	534663	8035503	15.03	0	75
ptg000050l_1_region	534663	8035503	15.03	0	75
ptg000051l_1	1890847	26577337	14.06	0	43
ptg000051l_1_region	1890847	26577337	14.06	0	43
ptg000053l_1	1962604	28456354	14.50	0	39
ptg000053l_1_region	1962604	28456354	14.50	0	39
ptg000054l_1	183585	2191874	11.94	0	46
ptg000054l_1_region	183585	2191874	11.94	0	46
ptg000055l_1	637852	11747058	18.42	0	75
ptg000055l_1_region	637852	11747058	18.42	0	75
ptg000056l_1	431851	6055256	14.02	0	29
ptg000056l_1_region	431851	6055256	14.02	0	29
ptg000058l_1	135302	1538499	11.37	0	31
ptg000058l_1_region	135302	1538499	11.37	0	31
ptg000060l_1	188825	2902938	15.37	0	28
ptg000060l_1_region	188825	2902938	15.37	0	28
ptg000061l_1	144747	2067595	14.28	0	105
ptg000061l_1_region	144747	2067595	14.28	0	105
ptg000063l_1	984313	12903536	13.11	0	30
ptg000063l_1_region	984313	12903536	13.11	0	30
ptg000064l_1	124707	1488685	11.94	0	32
ptg000064l_1_region	124707	1488685	11.94	0	32
ptg000065l_1	313630	2985206	9.52	0	35
ptg000065l_1_region	313630	2985206	9.52	0	35
ptg000066l_1	127012	1266870	9.97	0	23
ptg000066l_1_region	127012	1266870	9.97	0	23
ptg000067l_1	279727	4380114	15.66	0	60
ptg000067l_1_region	279727	4380114	15.66	0	60
ptg000068l_1	1174275	14897230	12.69	0	46
ptg000068l_1_region	1174275	14897230	12.69	0	46
ptg000069l_1	348412	3449941	9.90	0	25
ptg000069l_1_region	348412	3449941	9.90	0	25
ptg000070l_1	277397	3974550	14.33	0	34
ptg000070l_1_region	277397	3974550	14.33	0	34
ptg000071l_1	78417	835745	10.66	0	62
ptg000071l_1_region	78417	835745	10.66	0	62
ptg000073l_1	878729	12291369	13.99	0	57
ptg000073l_1_region	878729	12291369	13.99	0	57
ptg000074l_1	4297895	55174523	12.84	0	49
ptg000074l_1_region	4297895	55174523	12.84	0	49
ptg000075l_1	38822	432693	11.15	0	31
ptg000075l_1_region	38822	432693	11.15	0	31
ptg000076l_1	1161857	14219599	12.24	0	51
ptg000076l_1_region	1161857	14219599	12.24	0	51
ptg000077l_1	2020233	25771928	12.76	0	51
ptg000077l_1_region	2020233	25771928	12.76	0	51
ptg000081l_1	1003219	13996628	13.95	0	50
ptg000081l_1_region	1003219	13996628	13.95	0	50
ptg000082l_1	765665	14107433	18.43	0	92
ptg000082l_1_region	765665	14107433	18.43	0	92
ptg000083l_1	135166	1836896	13.59	0	189
ptg000083l_1_region	135166	1836896	13.59	0	189
ptg000084l_1	652496	8573676	13.14	0	30
ptg000084l_1_region	652496	8573676	13.14	0	30
ptg000085l_1	591990	11830808	19.98	0	92
ptg000085l_1_region	591990	11830808	19.98	0	92
ptg000086l_1	1566885	22398982	14.30	0	135
ptg000086l_1_region	1566885	22398982	14.30	0	135
ptg000087l_1	231933	596516	2.57	0	26
ptg000087l_1_region	231933	596516	2.57	0	26
ptg000088l_1	310722	2978385	9.59	0	28
ptg000088l_1_region	310722	2978385	9.59	0	28
ptg000089l_1	90642	1308768	14.44	0	37
ptg000089l_1_region	90642	1308768	14.44	0	37
ptg000090l_1	94161	1040263	11.05	0	23
ptg000090l_1_region	94161	1040263	11.05	0	23
ptg000091l_1	106474	1094666	10.28	0	65
ptg000091l_1_region	106474	1094666	10.28	0	65
ptg000092l_1	94983	1251382	13.17	0	50
ptg000092l_1_region	94983	1251382	13.17	0	50
ptg000093l_1	1559311	21323227	13.67	0	39
ptg000093l_1_region	1559311	21323227	13.67	0	39
ptg000095l_1	366653	4465842	12.18	0	28
ptg000095l_1_region	366653	4465842	12.18	0	28
ptg000096l_1	661661	8547718	12.92	0	35
ptg000096l_1_region	661661	8547718	12.92	0	35
ptg000097l_1	707944	8939072	12.63	0	46
ptg000097l_1_region	707944	8939072	12.63	0	46
ptg000099l_1	853229	11637570	13.64	0	32
ptg000099l_1_region	853229	11637570	13.64	0	32
ptg000100l_1	2744947	36556889	13.32	0	64
ptg000100l_1_region	2744947	36556889	13.32	0	64
ptg000102l_1	1396630	17972366	12.87	0	31
ptg000102l_1_region	1396630	17972366	12.87	0	31
ptg000103l_1	1067840	12573349	11.77	0	67
ptg000103l_1_region	1067840	12573349	11.77	0	67
ptg000104l_1	262532	3671398	13.98	0	29
ptg000104l_1_region	262532	3671398	13.98	0	29
ptg000105l_1	872662	12453612	14.27	0	107
ptg000105l_1_region	872662	12453612	14.27	0	107
ptg000106l_1	1048502	13919757	13.28	0	46
ptg000106l_1_region	1048502	13919757	13.28	0	46
ptg000108l_1	2785599	39192655	14.07	0	43
ptg000108l_1_region	2785599	39192655	14.07	0	43
ptg000109l_1	2056794	29043822	14.12	0	49
ptg000109l_1_region	2056794	29043822	14.12	0	49
ptg000110l_1	1165893	14444959	12.39	0	47
ptg000110l_1_region	1165893	14444959	12.39	0	47
ptg000111l_1	860410	11426219	13.28	0	39
ptg000111l_1_region	860410	11426219	13.28	0	39
ptg000112l_1	310037	3331613	10.75	0	30
ptg000112l_1_region	310037	3331613	10.75	0	30
ptg000115l_1	2335839	31288916	13.40	0	44
ptg000115l_1_region	2335839	31288916	13.40	0	44
ptg000116l_1	469499	5502803	11.72	0	37
ptg000116l_1_region	469499	5502803	11.72	0	37
ptg000117l_1	406753	4764098	11.71	0	37
ptg000117l_1_region	406753	4764098	11.71	0	37
ptg000119l_1	1807034	23602183	13.06	0	55
ptg000119l_1_region	1807034	23602183	13.06	0	55
ptg000120l_1	1323317	19263344	14.56	0	38
ptg000120l_1_region	1323317	19263344	14.56	0	38
ptg000121l_1	280342	3185106	11.36	0	31
ptg000121l_1_region	280342	3185106	11.36	0	31
ptg000122l_1	1056360	13264381	12.56	0	41
ptg000122l_1_region	1056360	13264381	12.56	0	41
ptg000123l_1	725853	9547035	13.15	0	42
ptg000123l_1_region	725853	9547035	13.15	0	42
ptg000126l_1	296254	4043641	13.65	0	26
ptg000126l_1_region	296254	4043641	13.65	0	26
ptg000127l_1	1299274	16508018	12.71	0	46
ptg000127l_1_region	1299274	16508018	12.71	0	46
ptg000128l_1	708623	13903992	19.62	0	45
ptg000128l_1_region	708623	13903992	19.62	0	45
ptg000130l_1	154507	1506128	9.75	0	25
ptg000130l_1_region	154507	1506128	9.75	0	25
ptg000131l_1	241907	2976315	12.30	0	30
ptg000131l_1_region	241907	2976315	12.30	0	30
ptg000132l_1	725834	9266660	12.77	0	63
ptg000132l_1_region	725834	9266660	12.77	0	63
ptg000134l_1	744042	14335087	19.27	0	129
ptg000134l_1_region	744042	14335087	19.27	0	129
ptg000135l_1	2688661	34837964	12.96	0	49
