chrom	length	bases	mean	min	max
ptg000001l_1	224559	1926289	8.58	0	28
ptg000001l_1_region	224559	1926289	8.58	0	28
ptg000002l_1	466864	3208262	6.87	0	29
ptg000002l_1_region	466864	3208262	6.87	0	29
ptg000003l_1	403059	2834136	7.03	0	33
ptg000003l_1_region	403059	2834136	7.03	0	33
ptg000004l_1	1905946	11933387	6.26	0	26
ptg000004l_1_region	1905946	11933387	6.26	0	26
ptg000007l_1	668351	3748960	5.61	0	22
ptg000007l_1_region	668351	3748960	5.61	0	22
ptg000009l_1	1309717	8583455	6.55	0	31
ptg000009l_1_region	1309717	8583455	6.55	0	31
ptg000010l_1	1379608	9814581	7.11	0	19
ptg000010l_1_region	1379608	9814581	7.11	0	19
ptg000011l_1	1181895	8604436	7.28	0	29
ptg000011l_1_region	1181895	8604436	7.28	0	29
ptg000012l_1	2003601	10561596	5.27	0	37
ptg000012l_1_region	2003601	10561596	5.27	0	37
ptg000014l_1	496174	3320599	6.69	0	24
ptg000014l_1_region	496174	3320599	6.69	0	24
ptg000017l_1	337928	3110566	9.20	0	48
ptg000017l_1_region	337928	3110566	9.20	0	48
ptg000018l_1	1171150	7329778	6.26	0	24
ptg000018l_1_region	1171150	7329778	6.26	0	24
ptg000020l_1	838433	5488461	6.55	0	24
ptg000020l_1_region	838433	5488461	6.55	0	24
ptg000022l_1	763729	3224634	4.22	0	30
ptg000022l_1_region	763729	3224634	4.22	0	30
ptg000023l_1	3419222	24791667	7.25	0	33
ptg000023l_1_region	3419222	24791667	7.25	0	33
ptg000024l_1	3723909	28891302	7.76	0	29
ptg000024l_1_region	3723909	28891302	7.76	0	29
ptg000025l_1	2438521	16992444	6.97	0	23
ptg000025l_1_region	2438521	16992444	6.97	0	23
ptg000026l_1	567458	2659579	4.69	0	34
ptg000026l_1_region	567458	2659579	4.69	0	34
ptg000027l_1	2516055	16370173	6.51	0	23
ptg000027l_1_region	2516055	16370173	6.51	0	23
ptg000028l_1	1739603	9020802	5.19	0	66
ptg000028l_1_region	1739603	9020802	5.19	0	66
ptg000029l_1	378547	5514874	14.57	0	111
ptg000029l_1_region	378547	5514874	14.57	0	111
ptg000031l_1	1937049	14882536	7.68	0	24
ptg000031l_1_region	1937049	14882536	7.68	0	24
ptg000032l_1	787133	4893700	6.22	0	28
ptg000032l_1_region	787133	4893700	6.22	0	28
ptg000034l_1	640064	4752415	7.42	0	23
ptg000034l_1_region	640064	4752415	7.42	0	23
ptg000035l_1	1094022	7425865	6.79	0	22
ptg000035l_1_region	1094022	7425865	6.79	0	22
ptg000036l_1	672284	3768249	5.61	0	26
ptg000036l_1_region	672284	3768249	5.61	0	26
ptg000037l_1	600481	3684023	6.14	0	19
ptg000037l_1_region	600481	3684023	6.14	0	19
