chrom	length	bases	mean	min	max
ptg000001l_1	224559	2292556	10.21	0	25
ptg000001l_1_region	224559	2292556	10.21	0	25
ptg000002l_1	466864	4468623	9.57	0	35
ptg000002l_1_region	466864	4468623	9.57	0	35
ptg000003l_1	403059	3367529	8.35	0	40
ptg000003l_1_region	403059	3367529	8.35	0	40
ptg000004l_1	1905946	15174010	7.96	0	24
ptg000004l_1_region	1905946	15174010	7.96	0	24
ptg000007l_1	668351	4441872	6.65	0	21
ptg000007l_1_region	668351	4441872	6.65	0	21
ptg000009l_1	1309717	10155476	7.75	0	34
ptg000009l_1_region	1309717	10155476	7.75	0	34
ptg000010l_1	1379608	10993452	7.97	0	28
ptg000010l_1_region	1379608	10993452	7.97	0	28
ptg000011l_1	1181895	9861647	8.34	0	23
ptg000011l_1_region	1181895	9861647	8.34	0	23
ptg000012l_1	2003601	13434965	6.71	0	38
ptg000012l_1_region	2003601	13434965	6.71	0	38
ptg000014l_1	496174	3527969	7.11	0	20
ptg000014l_1_region	496174	3527969	7.11	0	20
ptg000017l_1	337928	3670268	10.86	0	57
ptg000017l_1_region	337928	3670268	10.86	0	57
ptg000018l_1	1171150	8944908	7.64	0	26
ptg000018l_1_region	1171150	8944908	7.64	0	26
ptg000020l_1	838433	7438169	8.87	0	124
ptg000020l_1_region	838433	7438169	8.87	0	124
ptg000022l_1	763729	3884944	5.09	0	20
ptg000022l_1_region	763729	3884944	5.09	0	20
ptg000023l_1	3419222	29550506	8.64	0	35
ptg000023l_1_region	3419222	29550506	8.64	0	35
ptg000024l_1	3723909	34047466	9.14	0	42
ptg000024l_1_region	3723909	34047466	9.14	0	42
ptg000025l_1	2438521	19814471	8.13	0	34
ptg000025l_1_region	2438521	19814471	8.13	0	34
ptg000026l_1	567458	4756301	8.38	0	33
ptg000026l_1_region	567458	4756301	8.38	0	33
ptg000027l_1	2516055	18172994	7.22	0	31
ptg000027l_1_region	2516055	18172994	7.22	0	31
ptg000028l_1	1739603	13754212	7.91	0	82
ptg000028l_1_region	1739603	13754212	7.91	0	82
ptg000029l_1	378547	7741142	20.45	0	116
ptg000029l_1_region	378547	7741142	20.45	0	116
ptg000031l_1	1937049	17249320	8.90	0	34
ptg000031l_1_region	1937049	17249320	8.90	0	34
ptg000032l_1	787133	5760586	7.32	0	28
ptg000032l_1_region	787133	5760586	7.32	0	28
ptg000034l_1	640064	5100628	7.97	0	29
ptg000034l_1_region	640064	5100628	7.97	0	29
ptg000035l_1	1094022	9331085	8.53	0	33
ptg000035l_1_region	1094022	9331085	8.53	0	33
ptg000036l_1	672284	4718302	7.02	0	23
ptg000036l_1_region	672284	4718302	7.02	0	23
ptg000037l_1	600481	3413200	5.68	0	22
ptg000037l_1_region	600481	3413200	5.68	0	22
ptg000040l_1	1733005	14066287	8.12	0	27
ptg000040l_1_region	1733005	14066287	8.12	0	27
ptg000041l_1	154533	752618	4.87	0	13
ptg000041l_1_region	154533	752618	4.87	0	13
ptg000043l_1	1204965	9893154	8.21	0	26
ptg000043l_1_region	1204965	9893154	8.21	0	26
ptg000044l_1	94748	191271	2.02	0	14
ptg000044l_1_region	94748	191271	2.02	0	14
ptg000045l_1	492275	2740045	5.57	0	59
ptg000045l_1_region	492275	2740045	5.57	0	59
ptg000046l_1	327139	2440028	7.46	0	19
ptg000046l_1_region	327139	2440028	7.46	0	19
ptg000047l_1	872861	6804811	7.80	0	26
ptg000047l_1_region	872861	6804811	7.80	0	26
ptg000048l_1	267187	2245275	8.40	0	18
ptg000048l_1_region	267187	2245275	8.40	0	18
ptg000049l_1	2613172	23373320	8.94	0	36
ptg000049l_1_region	2613172	23373320	8.94	0	36
ptg000050l_1	181505	1085233	5.98	0	22
ptg000050l_1_region	181505	1085233	5.98	0	22
ptg000051l_1	361702	2819782	7.80	0	27
ptg000051l_1_region	361702	2819782	7.80	0	27
ptg000052l_1	1893344	12606581	6.66	0	20
ptg000052l_1_region	1893344	12606581	6.66	0	20
ptg000053l_1	249816	1907955	7.64	0	20
ptg000053l_1_region	249816	1907955	7.64	0	20
ptg000054l_1	2153890	18907240	8.78	0	35
