chrom	length	bases	mean	min	max
ptg000001l_1	456554	3191479	6.99	0	31
ptg000001l_1_region	456554	3191479	6.99	0	31
ptg000003l_1	661806	3911618	5.91	0	18
ptg000003l_1_region	661806	3911618	5.91	0	18
ptg000004l_1	675249	1418909	2.10	0	24
ptg000004l_1_region	675249	1418909	2.10	0	24
ptg000006l_1	1353028	8497898	6.28	0	25
ptg000006l_1_region	1353028	8497898	6.28	0	25
ptg000007l_1	555775	3896518	7.01	0	27
ptg000007l_1_region	555775	3896518	7.01	0	27
ptg000008l_1	206579	986353	4.77	0	14
ptg000008l_1_region	206579	986353	4.77	0	14
ptg000009l_1	129473	406190	3.14	0	17
ptg000009l_1_region	129473	406190	3.14	0	17
ptg000010l_1	1544933	10203314	6.60	0	31
ptg000010l_1_region	1544933	10203314	6.60	0	31
ptg000011l_1	262797	1661637	6.32	0	17
ptg000011l_1_region	262797	1661637	6.32	0	17
ptg000012l_1	454269	2877808	6.34	0	25
ptg000012l_1_region	454269	2877808	6.34	0	25
ptg000013l_1	947635	5341070	5.64	0	22
ptg000013l_1_region	947635	5341070	5.64	0	22
ptg000014l_1	199776	3151087	15.77	0	1465
ptg000014l_1_region	199776	3151087	15.77	0	1465
ptg000015l_1	1045151	4779641	4.57	0	22
ptg000015l_1_region	1045151	4779641	4.57	0	22
ptg000016l_1	1989504	11800819	5.93	0	21
ptg000016l_1_region	1989504	11800819	5.93	0	21
ptg000017l_1	1102765	6706326	6.08	0	26
ptg000017l_1_region	1102765	6706326	6.08	0	26
ptg000019l_1	410913	1627889	3.96	0	17
ptg000019l_1_region	410913	1627889	3.96	0	17
ptg000020l_1	166851	1415378	8.48	0	24
ptg000020l_1_region	166851	1415378	8.48	0	24
ptg000021l_1	2311804	15048851	6.51	0	35
ptg000021l_1_region	2311804	15048851	6.51	0	35
ptg000022l_1	195118	875568	4.49	0	17
ptg000022l_1_region	195118	875568	4.49	0	17
ptg000023l_1	1562883	8369112	5.35	0	32
ptg000023l_1_region	1562883	8369112	5.35	0	32
ptg000024l_1	289217	1551996	5.37	0	15
ptg000024l_1_region	289217	1551996	5.37	0	15
ptg000025l_1	259844	1088377	4.19	0	20
ptg000025l_1_region	259844	1088377	4.19	0	20
ptg000027l_1	200354	1220256	6.09	0	18
ptg000027l_1_region	200354	1220256	6.09	0	18
ptg000028l_1	674488	3718405	5.51	0	23
ptg000028l_1_region	674488	3718405	5.51	0	23
ptg000029l_1	82275	509793	6.20	0	15
ptg000029l_1_region	82275	509793	6.20	0	15
ptg000030l_1	26654	152912	5.74	0	12
ptg000030l_1_region	26654	152912	5.74	0	12
ptg000031l_1	902559	5445045	6.03	0	18
ptg000031l_1_region	902559	5445045	6.03	0	18
ptg000032l_1	550934	3031009	5.50	0	21
ptg000032l_1_region	550934	3031009	5.50	0	21
ptg000033l_1	743094	4316506	5.81	0	23
ptg000033l_1_region	743094	4316506	5.81	0	23
ptg000036l_1	438715	2297949	5.24	0	16
ptg000036l_1_region	438715	2297949	5.24	0	16
ptg000037l_1	459563	2243060	4.88	0	25
ptg000037l_1_region	459563	2243060	4.88	0	25
ptg000039l_1	109028	490470	4.50	0	11
ptg000039l_1_region	109028	490470	4.50	0	11
ptg000041l_1	230595	903715	3.92	0	21
ptg000041l_1_region	230595	903715	3.92	0	21
ptg000042l_1	379713	2141578	5.64	0	21
ptg000042l_1_region	379713	2141578	5.64	0	21
ptg000043l_1	713520	4306462	6.04	0	26
ptg000043l_1_region	713520	4306462	6.04	0	26
ptg000045l_1	372665	1670993	4.48	0	17
ptg000045l_1_region	372665	1670993	4.48	0	17
ptg000046l_1	3287143	20404714	6.21	0	26
ptg000046l_1_region	3287143	20404714	6.21	0	26
ptg000048l_1	881716	5445484	6.18	0	15
ptg000048l_1_region	881716	5445484	6.18	0	15
ptg000049l_1	2356921	22230326	9.43	0	125
