go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0002020	protease binding	molecular_function	11	2172	40	34266	4.34	2.692e-05	4.615e-02		LOC120030881,LOC120038031,LOC120039358,LOC120041601,LOC120041610,LOC120041621,LOC120041632,LOC120042876,LOC120044692,LOC120049327,LOC120050048
GO:0009895	negative regulation of catabolic process	biological_process	17	2172	90	34266	2.98	4.478e-05	4.615e-02		LOC120033969,LOC120038031,LOC120039358,LOC120041601,LOC120041610,LOC120041621,LOC120041632,LOC120042876,LOC120044692,LOC120047114,LOC120048510,LOC120048762,LOC120049327,LOC120049359,LOC120051453,LOC120063839,zcchc17
GO:0051045	negative regulation of membrane protein ectodomain proteolysis	biological_process	9	2172	31	34266	4.58	9.130e-05	6.272e-02		LOC120038031,LOC120039358,LOC120041601,LOC120041610,LOC120041621,LOC120041632,LOC120042876,LOC120044692,LOC120049327
GO:0042177	negative regulation of protein catabolic process	biological_process	10	2172	41	34266	3.85	1.871e-04	8.724e-02		LOC120038031,LOC120039358,LOC120041601,LOC120041610,LOC120041621,LOC120041632,LOC120042876,LOC120044692,LOC120048510,LOC120049327
GO:0008191	metalloendopeptidase inhibitor activity	molecular_function	9	2172	35	34266	4.06	2.540e-04	8.724e-02		LOC120038031,LOC120039358,LOC120041601,LOC120041610,LOC120041621,LOC120041632,LOC120042876,LOC120044692,LOC120049327
GO:0051043	regulation of membrane protein ectodomain proteolysis	biological_process	9	2172	35	34266	4.06	2.540e-04	8.724e-02		LOC120038031,LOC120039358,LOC120041601,LOC120041610,LOC120041621,LOC120041632,LOC120042876,LOC120044692,LOC120049327
GO:0009894	regulation of catabolic process	biological_process	41	2172	394	34266	1.64	1.312e-03	3.236e-01		LOC120026950,LOC120028993,LOC120030812,LOC120031537,LOC120032502,LOC120033969,LOC120034359,LOC120035140,LOC120036671,LOC120037771,LOC120037845,LOC120038031,LOC120038470,LOC120039358,LOC120039547,LOC120041601,LOC120041610,LOC120041621,LOC120041632,LOC120042708,LOC120042876,LOC120044692,LOC120047092,LOC120047114,LOC120048488
GO:0031047	regulatory ncRNA-mediated gene silencing	biological_process	10	2172	52	34266	3.03	1.397e-03	3.236e-01		LOC120018286,LOC120031391,LOC120036471,LOC120037695,LOC120037845,LOC120048346,LOC120065617,LOC120066515,pld6,snd1
GO:0070573	metallodipeptidase activity	molecular_function	4	2172	9	34266	7.01	1.567e-03	3.236e-01		LOC120025051,LOC120047313,LOC120047675,LOC120048314
GO:0016805	dipeptidase activity	molecular_function	5	2172	15	34266	5.26	1.788e-03	3.236e-01		LOC120025051,LOC120032886,LOC120047313,LOC120047675,LOC120048314
GO:0035459	vesicle cargo loading	biological_process	10	2172	54	34266	2.92	1.884e-03	3.236e-01		LOC120029114,LOC120032359,LOC120039225,LOC120039668,LOC120041957,LOC120042395,LOC120042546,LOC120042547,LOC120042898,LOC120056946
