gene_id	symbol	product	biotype	chrom	start	end	n_go	tier	n_lines_refined	lines_refined	reciprocal_pav	ecotype_only_corroborated	cnv	dmr	ref_divergence	reciprocal_present_in	ecotype_only_tier	ecotype_only_side	copies_lean	copies_siscowet	sv	ref_pav	n_lines_23_6	cluster_rep	cluster_size	caution	phase18_convergent	phase18_rank_score
gene-LOC120022070	LOC120022070	growth factor receptor-bound protein 10-like	protein_coding	NC_052333.1	16833673	16882967	4	A	3	reciprocal_pav,cnv,ref_divergence	1	0	1	0	1	lean	liftoff_only	lean	2	1	0	0	2	gene-LOC120022070	1		0	
gene-LOC120024897	LOC120024897	cGMP-inhibited 3',5'-cyclic phosphodiesterase B-like	protein_coding	NC_052336.1	8438588	8525036	5	A	3	reciprocal_pav,ecotype_only_corroborated,ref_divergence	1	1	0	0	1	siscowet	corroborated	siscowet			1	0	3	gene-LOC120024897	1		0	
gene-LOC120034415	LOC120034415	inactive rhomboid protein 1-like	protein_coding	NC_052347.1	9394402	9447694	4	A	3	reciprocal_pav,ecotype_only_corroborated,ref_divergence	1	1	0	0	1	lean	corroborated	lean			1	0	3	gene-LOC120034415	1		0	
gene-LOC120050135	LOC120050135	nucleosome assembly protein 1-like 1-A	protein_coding	NC_052312.1	49788487	49815671	5	A	3	reciprocal_pav,ecotype_only_corroborated,ref_divergence	1	1	0	0	1	siscowet	corroborated	siscowet			1	0	3	gene-LOC120050135	1		0	
gene-gpia	gpia	glucose-6-phosphate isomerase a	protein_coding	NC_052327.1	35875447	35906282	7	A	3	reciprocal_pav,cnv,ref_divergence	1	0	1	0	1	siscowet	liftoff_only	siscowet	1	2	0	0	2	gene-gpia	1		0	
gene-ttll9	ttll9	tubulin tyrosine ligase-like family, member 9	protein_coding	NC_052320.1	25838097	25848989	5	A	3	reciprocal_pav,cnv,ref_divergence	1	0	1	0	1	siscowet	liftoff_only	siscowet	1	2	0	0	2	gene-ttll9	1		0	
gene-LOC120034744	LOC120034744	uncharacterized LOC120034744	protein_coding	NC_052348.1	13077347	13079334	0	A	3	reciprocal_pav,cnv,ref_divergence	1	0	1	0	1	lean	liftoff_only	siscowet	22	24	0	0	1	gene-LOC120034660	5	repeat_or_tandem_family;tandem_cluster_n5	0	
gene-LOC120039613	LOC120039613	uncharacterized LOC120039613	lncRNA	NW_024059730.1	119706	123048	0	A	3	reciprocal_pav,cnv,ref_divergence	1	0	1	0	1	siscowet	liftoff_only	lean	8	6	0	0	1	gene-LOC120039614	3	noncoding;repeat_or_tandem_family	0	
gene-LOC120041427	LOC120041427	uncharacterized LOC120041427	lncRNA	NW_024061160.1	61601	62236	0	A	3	reciprocal_pav,cnv,ref_divergence	1	0	1	0	1	siscowet	liftoff_only	siscowet	31	35	0	0	1	gene-LOC120041430	3	noncoding;repeat_or_tandem_family	0	
gene-LOC120044851	LOC120044851	uncharacterized LOC120044851	lncRNA	NC_052309.1	2871302	2885986	0	A	3	reciprocal_pav,cnv,ref_divergence	1	0	1	0	1	siscowet	liftoff_only	siscowet	1	2	0	0	1	gene-LOC120044851	1	noncoding;repeat_or_tandem_family	0	
