set	chrom	start	end	family	n_study_genes	n_cluster_genes	example_product	genes
cnv	NC_052308.1	33025163	33087353	spliceosomal	33	46	U4 spliceosomal RNA	LOC120028286,LOC120028289,LOC120028294,LOC120028297,LOC120028303,LOC120028312,LOC120028320,LOC120028441,LOC120028526,LOC120028552,LOC120028556,LOC120028563
cnv	NC_052311.1	29716908	30037076	protocadherin	27	46	protocadherin alpha-4-like	LOC120047055,LOC120047056,LOC120047057,LOC120047058,LOC120047059,LOC120047060,LOC120047061,LOC120047062,LOC120047067,LOC120047068,LOC120047069,LOC120047823
cnv	NC_052335.1	26147236	26155916	small	12	36	small nucleolar RNA SNORD50	LOC120024630,LOC120024631,LOC120024632,LOC120024633,LOC120024634,LOC120024651,LOC120024652,LOC120024653,LOC120024654,LOC120024656,LOC120024667,LOC120024670
cnv	NC_052308.1	72299678	72441127	histone	11	19	histone H2B	LOC120017851,LOC120017881,LOC120017900,LOC120017911,LOC120017932,LOC120017951,LOC120017972,LOC120018007,LOC120018041,LOC120018058,LOC120018068
cnv	NW_024058168.1	637	20029	small	11	20	small nucleolar RNA U3	LOC120036703,LOC120036704,LOC120036705,LOC120036706,LOC120036707,LOC120036709,LOC120036712,LOC120036713,LOC120036714,LOC120036716,LOC120036718
cnv	NC_052314.1	2399403	2423268	small	11	18	small nucleolar RNA U3	LOC120053081,LOC120053086,LOC120053087,LOC120053088,LOC120053090,LOC120053092,LOC120053093,LOC120053099,LOC120053100,LOC120053101,LOC120053102
cnv	NC_052319.1	22927602	23120998	gamma	11	18	gamma-crystallin M2-like	LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923,LOC120057924,LOC120058026,LOC120058034,LOC120058036,LOC120058037
cnv	NW_024057805.1	9773	83599	spliceosomal	10	10	U1 spliceosomal RNA	LOC120035853,LOC120035854,LOC120035855,LOC120035856,LOC120035857,LOC120035858,LOC120035859,LOC120035860,LOC120035861,LOC120035862
cnv	NW_024057745.1	22793	87701	spliceosomal	9	15	U1 spliceosomal RNA	LOC120035548,LOC120035549,LOC120035580,LOC120035582,LOC120035583,LOC120035591,LOC120035592,LOC120035594,LOC120035595
cnv	NW_024058207.1	1536	62831	ribosomal	9	26	5S ribosomal RNA	LOC120036786,LOC120036789,LOC120036790,LOC120036791,LOC120036799,LOC120036800,LOC120036801,LOC120036805,LOC120036811
