go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0042995	cell projection	cellular_component	14	95	1384	31285	3.33	7.360e-05	1.317e-02		LOC120019576,LOC120020307,LOC120032363,LOC120036268,LOC120043873,LOC120053194,LOC120053598,LOC120056235,LOC120057339,LOC120062883,LOC120066718,cracr2b,sh3yl1,ttll9
GO:0120025	plasma membrane bounded cell projection	cellular_component	13	95	1344	31285	3.19	2.113e-04	1.372e-02		LOC120019576,LOC120020307,LOC120036268,LOC120043873,LOC120053194,LOC120053598,LOC120056235,LOC120057339,LOC120062883,LOC120066718,cracr2b,sh3yl1,ttll9
GO:0090257	regulation of muscle system process	biological_process	3	95	43	31285	22.98	3.065e-04	1.372e-02	Y	LOC120030672,LOC120046589,LOC120056805
GO:0006937	regulation of muscle contraction	biological_process	3	95	43	31285	22.98	3.065e-04	1.372e-02	Y	LOC120030672,LOC120046589,LOC120056805
GO:0032869	cellular response to insulin stimulus	biological_process	3	95	65	31285	15.2	1.034e-03	3.701e-02		LOC120022070,LOC120028089,cracr2b
GO:0032868	response to insulin	biological_process	3	95	75	31285	13.17	1.563e-03	4.275e-02		LOC120022070,LOC120028089,cracr2b
GO:0051668	localization within membrane	biological_process	6	95	414	31285	4.77	1.672e-03	4.275e-02		LOC120032363,LOC120046589,LOC120056503,LOC120060868,cracr2b,vps50
GO:1901699	cellular response to nitrogen compound	biological_process	4	95	184	31285	7.16	2.431e-03	5.439e-02		LOC120022070,LOC120028089,LOC120060868,cracr2b
GO:0098609	cell-cell adhesion	biological_process	6	95	496	31285	3.98	4.082e-03	7.777e-02		LOC120020307,LOC120025537,LOC120045058,LOC120054371,LOC120056781,LOC120066463
GO:0071375	cellular response to peptide hormone stimulus	biological_process	3	95	108	31285	9.15	4.398e-03	7.777e-02		LOC120022070,LOC120028089,cracr2b
GO:1901698	response to nitrogen compound	biological_process	4	95	224	31285	5.88	4.900e-03	7.777e-02		LOC120022070,LOC120028089,LOC120060868,cracr2b
GO:0072657	protein localization to membrane	biological_process	4	95	228	31285	5.78	5.214e-03	7.777e-02		LOC120032363,LOC120046589,LOC120060868,cracr2b
GO:0046914	transition metal ion binding	molecular_function	11	95	1498	31285	2.42	5.725e-03	7.882e-02		LOC120020909,LOC120028089,LOC120032728,LOC120035721,LOC120038650,LOC120042129,LOC120053938,LOC120056031,LOC120065642,LOC120066682,cpn1
GO:0044057	regulation of system process	biological_process	3	95	123	31285	8.03	6.310e-03	8.047e-02		LOC120030672,LOC120046589,LOC120056805
GO:0043434	response to peptide hormone	biological_process	3	95	126	31285	7.84	6.743e-03	8.047e-02		LOC120022070,LOC120028089,cracr2b
GO:0043005	neuron projection	cellular_component	8	95	949	31285	2.78	8.313e-03	9.300e-02		LOC120020307,LOC120043873,LOC120053194,LOC120056235,LOC120057339,LOC120062883,LOC120066718,cracr2b
GO:0004879	nuclear receptor activity	molecular_function	3	95	143	31285	6.91	9.527e-03	9.475e-02		LOC120053938,LOC120056031,LOC120066682
GO:0098531	ligand-modulated transcription factor activity	molecular_function	3	95	143	31285	6.91	9.527e-03	9.475e-02		LOC120053938,LOC120056031,LOC120066682
