id,feature,fc,pval,qval,chr,start,end,score,strand
gene-aadat,gene,0.664592376674565,0.046715949924565,0.44097140675619,NC_052312.1,20035817,20049690,0,+
gene-abca4a,gene,0.603628275076373,0.0331017126479558,0.408849542960407,NC_052339.1,17908739,17959552,0,-
gene-abca5,gene,0.439492322456811,0.00699650572425692,0.308338378842631,NC_052310.1,59585883,59706820,0,-
gene-abhd10b,gene,1.41187260584479,0.0163688617692112,0.352588062328573,NC_052339.1,22659076,22664785,0,-
gene-abt1,gene,0.652085183884049,0.0466710087012644,0.44097140675619,NC_052322.1,37683231,37685266,0,-
gene-acat2,gene,1.43227824255409,0.030840615208714,0.402809271890881,NC_052330.1,26007458,26013670,0,+
gene-acot13,gene,1.65505209349741,0.0258593905852684,0.386826192906209,NW_024058675.1,37923,39397,0,-
gene-acox3,gene,0.691695379385181,0.0307492959396667,0.402809271890881,NC_052312.1,22561973,22588750,0,-
gene-acss2l,gene,0.685544289058042,0.0366312334991878,0.421516985429973,NW_024061630.1,147691,179956,0,+
gene-acta2,gene,1.27129260477916,0.00670380658108294,0.30820545002551,NC_052310.1,11009700,11018326,0,-
gene-actr6,gene,0.871883643518012,0.00650316254577077,0.307632767845853,NC_052327.1,43436906,43442832,0,-
gene-adam9,gene,0.822421280063838,0.0394132075956539,0.430547567967213,NC_052307.1,46655965,46758964,0,+
gene-adck2,gene,1.39806871006534,0.00632937548873513,0.307632767845853,NC_052314.1,14174801,14184680,0,+
gene-adnp2a,gene,0.846921324972684,0.00189408610418362,0.294456832090784,NC_052343.1,16909960,16914588,0,-
gene-adnpb,gene,0.750878947745572,0.00596530436895437,0.307632767845853,NC_052320.1,27802965,27810434,0,+
gene-adprs,gene,1.50505384275606,0.00280207684800382,0.294456832090784,NC_052334.1,15300752,15310911,0,-
gene-aggf1,gene,0.832097918252648,0.00436643372735723,0.294456832090784,NC_052337.1,16242258,16254697,0,-
gene-ago3b,gene,0.878481486804141,0.0308415735194516,0.402809271890881,NC_052333.1,35508548,35549916,0,+
gene-ahcy,gene,0.948771654369262,0.041679371623877,0.432944310907149,NC_052308.1,53362027,53379866,0,+
gene-aif1l,gene,1.3414227609861,0.00450640050886331,0.294456832090784,NC_052332.1,7827401,7864145,0,-
gene-aifm4,gene,0.78881993781037,0.00418181405781437,0.294456832090784,NC_052329.1,24827558,24843240,0,+
gene-aimp2,gene,1.41826740420446,0.00211987945831216,0.294456832090784,NC_052309.1,92969340,92973652,0,-
gene-ajuba,gene,0.776093163883472,0.0257169997681592,0.386552059414018,NC_052312.1,19038615,19050457,0,+
gene-akap17a,gene,0.854681804917251,0.045515047777112,0.438326564076203,NC_052325.1,29253917,29269222,0,-
gene-akt2,gene,0.868680506104801,0.00276039483610369,0.294456832090784,NC_052329.1,13164781,13184658,0,-
gene-alg2,gene,1.47842458571488,0.0246783124221306,0.382924839410677,NC_052343.1,31721163,31724206,0,+
gene-alkbh3,gene,1.26890033810357,0.0453882561402387,0.438264838028898,NC_052327.1,12343786,12360284,0,-
gene-alpk1,gene,0.865648760024472,0.023868308401476,0.380632108968568,NC_052342.1,6537357,6556548,0,-
gene-ambra1a,gene,0.972098246743145,0.00907887896031256,0.31549343556711,NC_052307.1,53885170,53973946,0,+
gene-ambra1b,gene,0.820202839058328,0.0260952947419502,0.38899270270901,NC_052327.1,10165804,10211462,0,-
gene-anapc1,gene,0.70317798625528,0.00403303041433722,0.294456832090784,NC_052328.1,27559822,27613702,0,-
gene-and1,gene,0.812943235019964,0.0193828997370148,0.366799336022592,NC_052339.1,21668546,21676381,0,+
gene-angel2,gene,0.880303322865655,0.0399491509310727,0.431241603733196,NC_052335.1,18508083,18513251,0,+
gene-angpt1,gene,0.974449696697456,0.0302970112951488,0.40193533252394,NC_052338.1,5208187,5280223,0,-
gene-angpt4,gene,1.10681203726228,0.0105893833275768,0.32515937929485,NC_052308.1,55470516,55512947,0,+
gene-ankrd10a,gene,0.993182366743964,0.0440371554209005,0.436397772232184,NC_052346.1,1140078,1164933,0,+
gene-ankrd27,gene,0.862336611055057,0.0227877545802269,0.3755595055206,NC_052327.1,35502748,35531761,0,+
gene-ankrd34bb,gene,0.984120732322203,0.0444389145501098,0.437208077566777,NC_052324.1,41430217,41432883,0,-
gene-ankzf1,gene,0.819425768820163,0.0481423454827726,0.441018254828864,NC_052325.1,543858,573578,0,-
gene-anpepb,gene,0.915990554625613,0.0411034969314346,0.432695905082428,NC_052327.1,20525893,20534207,0,+
gene-antkmt,gene,0.960532079835862,0.0464585044385329,0.440564499815363,NC_052309.1,59068997,59079817,0,-
gene-ap1g2,gene,0.804347021134127,0.0444830779088665,0.437377144686524,NC_052331.1,10110321,10128789,0,+
gene-ap2b1,gene,0.732317664331608,0.0263190962185365,0.38899270270901,NC_052318.1,23895712,24022869,0,+
gene-ap5m1,gene,1.29979428067116,0.0336021150075919,0.410411005294172,NC_052334.1,25016951,25020383,0,+
gene-ap5s1,gene,1.07022741421234,0.028089277199618,0.394854298162405,NC_052334.1,357417,362375,0,+
gene-apbb2b,gene,0.733741112106175,0.0119546303380519,0.327713881370137,NC_052311.1,29084741,29114187,0,-
gene-apool,gene,1.26311588032232,0.0151605892628367,0.3467419902886,NC_052318.1,34964896,34974469,0,+
gene-arhgap33,gene,1.06048253818909,0.0274093080093383,0.392303840679748,NC_052311.1,58516898,58547850,0,-
gene-arhgap4b,gene,1.05815378705229,0.042472160291427,0.432944310907149,NC_052333.1,16052825,16064821,0,+
gene-arhgef9a,gene,0.691578616673444,0.00277463562568836,0.294456832090784,NC_052318.1,35380026,35398960,0,-
gene-arid4a,gene,0.865559111892665,0.0339942938633362,0.412580708374916,NC_052321.1,32968785,32990153,0,+
gene-arnt2,gene,0.775430306966242,0.0197167737423887,0.366799336022592,NC_052307.1,73135214,73232151,0,+
gene-arsh,gene,1.13763142624507,0.018525835784464,0.364897826310302,NC_052325.1,29097721,29102025,0,-
gene-aste1b,gene,1.83607476025537,0.00358673855801284,0.294456832090784,NC_052333.1,14890886,14897618,0,+
gene-atg13,gene,0.759637581070592,0.00669225267756124,0.30820545002551,NC_052307.1,54304457,54313798,0,+
gene-atp5f1d,gene,1.44532685678409,0.0404771404633688,0.431417062851279,NC_052316.1,16208761,16213316,0,-
gene-atp5mc3b,gene,1.70586554227494,0.0131871384547351,0.336722861347166,NC_052346.1,261864,264383,0,+
gene-atp6v0ca,gene,1.47258787375471,0.00248331758960207,0.294456832090784,NC_052309.1,58789825,58803387,0,-
gene-b4galt5,gene,0.831723316570239,0.038957644794761,0.42955244889601,NW_024061109.1,279596,336346,0,+
gene-babam1,gene,1.39969450925801,0.0147733553264562,0.344708785598155,NC_052316.1,43634536,43655541,0,+
gene-bag1,gene,0.809792212716503,0.043102033372685,0.434580988774948,NW_024059098.1,14063,27236,0,+
gene-bbln,gene,1.25889220210676,0.0398358581524717,0.431241603733196,NC_052332.1,16601879,16604757,0,-
gene-bbs1,gene,0.876445159713744,0.0184139899664881,0.364769235777677,NC_052332.1,32258312,32269009,0,-
gene-bbs12,gene,0.934330558778541,0.00728560066347694,0.309567883574485,NC_052311.1,16534972,16537676,0,-
gene-bcl9l,gene,1.09871848672949,0.0358974839069708,0.419198850621797,NW_024061038.1,2904,14701,0,+
