gene_id	eco_chrom	eco_start	eco_end	eco_strand	symbol	geneid	biotype	chrom	start	end	strand	is_named	product	n_go	go_bp	go_mf	go_cc	go_terms
gene-LOC120044090	ptg000001l	2546	42113	-	LOC120044090	120044090	protein_coding	NC_052309.1	85130123	85221794	-	0	BAH and coiled-coil domain-containing protein 1-like	0	0	0	0	NA
gene-LOC120041454_1	ptg000001l	115248	121612	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120043819	ptg000001l	266773	294022	+	LOC120043819	120043819	protein_coding	NC_052309.1	97281524	97308467	-	0	protein HID1-like	3	0	0	3	GO:0000138|GO:0005797|GO:0016020
gene-LOC120044161	ptg000001l	305396	309901	-	LOC120044161	120044161	protein_coding	NC_052309.1	97265648	97270152	+	0	proton channel OTOP2-like	3	1	1	1	GO:0015252|GO:0016020|GO:1902600
gene-LOC120044160	ptg000001l	321591	324724	-	LOC120044160	120044160	protein_coding	NC_052309.1	97250825	97253957	+	0	proton channel OTOP2-like	3	1	1	1	GO:0015252|GO:0016020|GO:1902600
gene-LOC120044727	ptg000001l	328988	349876	+	LOC120044727	120044727	protein_coding	NC_052309.1	97225184	97246560	-	0	Usher syndrome type-1G protein homolog	4	3	1	0	GO:0005515|GO:0007605|GO:0050953|GO:0050957
gene-LOC120043818	ptg000001l	355779	363050	+	LOC120043818	120043818	protein_coding	NC_052309.1	97211866	97219136	-	0	tripartite motif-containing protein 16-like	2	0	2	0	GO:0005515|GO:0008270
gene-LOC120044726	ptg000001l	363710	365325	-	LOC120044726	120044726	protein_coding	NC_052309.1	97209591	97211205	+	0	protein amnionless-like	4	2	0	2	GO:0006898|GO:0008104|GO:0016324|GO:0030139
gene-LOC120041407	ptg000001l	366182	379302	+	LOC120041407	120041407	protein_coding	NC_052309.1	84888270	84901318	-	0	Golgi apparatus membrane protein TVP23 homolog B-like	3	2	0	1	GO:0000139|GO:0009306|GO:0016192
gene-LOC120044087	ptg000001l	379431	385232	+	LOC120044087	120044087	protein_coding	NC_052309.1	84882340	84888140	-	0	exocyst complex component 7-like	0	0	0	0	NA
gene-LOC120041397	ptg000001l	386741	404412	+	LOC120041397	120041397	protein_coding	NC_052309.1	84863162	84880830	-	0	exocyst complex component 7-like	3	1	1	1	GO:0000145|GO:0005546|GO:0006887
gene-LOC120041265	ptg000002l	27301	28875	+	LOC120041265	120041265	protein_coding	NW_024061118.1	37946	39519	+	0	putative nuclease HARBI1	0	0	0	0	NA
gene-LOC120063488_15	ptg000002l	270343	271447	+	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120043612_1	ptg000002l	302151	328582	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120039527_1	ptg000002l	331623	337218	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120039521	ptg000002l	374132	387656	+	LOC120039521	120039521	protein_coding	NW_024059641.1	8617	22139	-	0	zinc finger protein 2 homolog	3	1	2	0	GO:0000978|GO:0000981|GO:0006357
gene-LOC120039519	ptg000002l	383567	386602	-	LOC120039519	120039519	protein_coding	NW_024059641.1	9671	12705	+	0	zinc finger protein 239-like	5	2	2	1	GO:0000978|GO:0000981|GO:0005634|GO:0006357|GO:0007417
gene-LOC120037731	ptg000002l	402932	404456	+	LOC120037731	120037731	protein_coding	NW_024058608.1	247078	248601	+	0	zinc finger protein 420-like	3	1	2	0	GO:0000978|GO:0000981|GO:0006357
gene-LOC120035231_35	ptg000002l	526438	527516	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-LOC120023957_1	ptg000003l	17947	21710	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-chga_1	ptg000003l	172658	187847	+	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-itpk1a	ptg000003l	201719	268294	-	itpk1a	120024115	protein_coding	NC_052335.1	12710502	12777082	-	1	inositol-tetrakisphosphate 1-kinase a	7	1	5	1	GO:0000287|GO:0005524|GO:0005737|GO:0032957|GO:0047325|GO:0052725|GO:0052726
gene-tmem251	ptg000003l	269007	284208	+	tmem251	120023881	protein_coding	NC_052335.1	12777796	12792998	+	1	transmembrane protein 251	0	0	0	0	NA
gene-si:dkeyp-55f12.3	ptg000003l	284024	286083	-	si:dkeyp-55f12.3	120023882	protein_coding	NC_052335.1	12792815	12794873	-	1	uncharacterized protein LOC568418 homolog	1	0	0	1	GO:0000408
