gene_id	eco_chrom	eco_start	eco_end	eco_strand	symbol	geneid	biotype	chrom	start	end	strand	is_named	product	n_go	go_bp	go_mf	go_cc	go_terms
gene-LOC120042904_1	ptg000001l	114765	116467	+	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene-rpl38	ptg000001l	195960	198060	+	rpl38	120029873	protein_coding	NC_052341.1	13692562	13694661	-	1	ribosomal protein L38	5	2	1	2	GO:0003735|GO:0005840|GO:0006412|GO:0022618|GO:0022625
gene-LOC120044743	ptg000002l	93565	94527	-	LOC120044743	120044743	protein_coding	NC_052309.1	998467	999428	+	0	repetitive proline-rich cell wall protein 2-like	0	0	0	0	NA
gene-LOC120044170	ptg000002l	159636	181828	-	LOC120044170	120044170	protein_coding	NC_052309.1	1246026	1313251	-	0	coronin-7-like	1	0	1	0	GO:0005515
gene-LOC120044835	ptg000002l	181936	189505	+	LOC120044835	120044835	protein_coding	NC_052309.1	1313360	1320928	+	0	dnaJ homolog subfamily A member 3, mitochondrial-like	9	4	4	1	GO:0005524|GO:0005739|GO:0006457|GO:0007005|GO:0009408|GO:0019901|GO:0031072|GO:0043066|GO:0051082
gene-LOC120044836	ptg000002l	190502	201202	-	LOC120044836	120044836	protein_coding	NC_052309.1	1321926	1332625	-	0	heme oxygenase 2-like	5	3	2	0	GO:0004392|GO:0006788|GO:0006979|GO:0020037|GO:0042167
gene-cfap70	ptg000002l	209547	225297	-	cfap70	120044837	protein_coding	NC_052309.1	1340932	1356604	-	1	cilia and flagella associated protein 70	5	2	1	2	GO:0003341|GO:0005515|GO:0031514|GO:0060271|GO:0070062
gene-LOC120044838	ptg000002l	224733	234905	+	LOC120044838	120044838	protein_coding	NC_052309.1	1356041	1366218	+	0	uncharacterized LOC120044838	0	0	0	0	NA
gene-LOC120044746	ptg000002l	245854	246280	+	LOC120044746	120044746	protein_coding	NC_052309.1	1377184	1377609	+	0	transmembrane protein 100	1	1	0	0	GO:0071773
gene-LOC120044839	ptg000002l	277961	300880	+	LOC120044839	120044839	protein_coding	NC_052309.1	1409264	1432202	+	0	cyclin-F-like	8	2	2	4	GO:0000079|GO:0000307|GO:0005515|GO:0005634|GO:0005737|GO:0005813|GO:0016538|GO:0044772
gene-abca3b	ptg000002l	301649	389489	+	abca3b	120044840	protein_coding	NC_052309.1	1432972	1522564	+	1	ATP-binding cassette, sub-family A (ABC1), member 3b	8	2	4	2	GO:0005319|GO:0005524|GO:0006869|GO:0016020|GO:0016887|GO:0043231|GO:0055085|GO:0140359
gene-LOC120044841	ptg000002l	398314	411190	+	LOC120044841	120044841	protein_coding	NC_052309.1	1531391	1544254	+	0	cytochrome P450 2K1-like	7	2	3	2	GO:0005506|GO:0005737|GO:0006082|GO:0006805|GO:0016712|GO:0020037|GO:0043231
gene-LOC120041561	ptg000002l	424894	444152	+	LOC120041561	120041561	protein_coding	NW_024061172.1	3680	22936	+	0	cytochrome P450 2K1-like	7	2	3	2	GO:0005506|GO:0005737|GO:0006082|GO:0006805|GO:0016712|GO:0020037|GO:0043231
gene-LOC120044842	ptg000002l	444739	458834	+	LOC120044842	120044842	protein_coding	NC_052309.1	1557959	1577217	+	0	cytochrome P450 2K1-like	7	2	3	2	GO:0005506|GO:0005737|GO:0006082|GO:0006805|GO:0016712|GO:0020037|GO:0043231
gene-LOC120049973	ptg000003l	59392	73535	+	LOC120049973	120049973	protein_coding	NC_052312.1	39041234	39055603	-	0	myotrophin-like	4	1	1	2	GO:0005515|GO:0005634|GO:0005737|GO:2000812
gene-LOC120049123	ptg000003l	109959	120248	+	LOC120049123	120049123	protein_coding	NC_052312.1	38994556	39004842	-	0	protein FAM180A-like	0	0	0	0	NA
