site_id,chrom,pos,lean_mean,siscowet_mean,meth_diff,n_lean,n_siscowet,statistic,pvalue,qvalue,significant,significant_fdr,direction
NC_052307.1:12701367,NC_052307.1,12701367,47.5,63.09525,15.59525,3,4,0.0,0.04974599072150299,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:13392200,NC_052307.1,13392200,22.5731,40.44445,17.871350000000003,3,4,0.0,0.04974599072150299,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:13393293,NC_052307.1,13393293,19.517533333333333,40.30715,20.789616666666667,3,4,0.0,0.04974599072150299,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:13579456,NC_052307.1,13579456,68.44225,89.139875,20.697625000000002,4,4,0.0,0.02857142857142857,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:13581047,NC_052307.1,13581047,45.5898,60.680825,15.091025000000002,4,4,0.0,0.02857142857142857,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:35135444,NC_052307.1,35135444,61.60537500000001,76.742025,15.136649999999989,4,4,0.0,0.02857142857142857,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:4412187,NC_052307.1,4412187,82.2328,66.565625,-15.667175,3,4,12.0,0.04974599072150299,0.9266860194365075,True,False,hypo_siscowet
NC_052307.1:45089436,NC_052307.1,45089436,91.67965000000001,73.3173,-18.362350000000006,4,4,16.0,0.02857142857142857,0.9266860194365075,True,False,hypo_siscowet
NC_052307.1:54460200,NC_052307.1,54460200,94.490725,76.7262,-17.764524999999992,4,4,16.0,0.02857142857142857,0.9266860194365075,True,False,hypo_siscowet
NC_052307.1:72939168,NC_052307.1,72939168,53.101525,69.14965,16.04812499999999,4,4,0.0,0.02857142857142857,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:72940164,NC_052307.1,72940164,55.246775,73.81739999999999,18.570624999999993,4,4,0.0,0.02857142857142857,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:72940189,NC_052307.1,72940189,59.086175,79.4845,20.398325,4,4,0.0,0.02857142857142857,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:72940575,NC_052307.1,72940575,65.734875,85.28415,19.549274999999994,4,4,0.0,0.02857142857142857,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:72941523,NC_052307.1,72941523,55.484275,72.603025,17.118750000000006,4,4,0.0,0.029401048190339642,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:72942650,NC_052307.1,72942650,54.98315,73.3348,18.35165,4,4,0.0,0.02857142857142857,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:72942690,NC_052307.1,72942690,52.53195,69.32065,16.7887,4,4,0.0,0.02857142857142857,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:72942715,NC_052307.1,72942715,49.69435,67.302825,17.608475,4,4,0.0,0.02857142857142857,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:73031017,NC_052307.1,73031017,68.23435,92.79495,24.560599999999994,4,4,0.0,0.02857142857142857,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:73663234,NC_052307.1,73663234,90.84223333333334,74.6212,-16.221033333333338,3,4,12.0,0.04974599072150299,0.9266860194365075,True,False,hypo_siscowet
NC_052307.1:73730772,NC_052307.1,73730772,91.55843333333333,73.638825,-17.91960833333333,3,4,12.0,0.04974599072150299,0.9266860194365075,True,False,hypo_siscowet
NC_052307.1:73743405,NC_052307.1,73743405,26.110699999999998,2.941175,-23.169524999999997,3,4,12.0,0.04359664488554136,0.9266860194365075,True,False,hypo_siscowet
NC_052307.1:73743407,NC_052307.1,73743407,25.5844,5.0245075,-20.559892499999997,3,4,12.0,0.04974599072150299,0.9266860194365075,True,False,hypo_siscowet
NC_052307.1:74022875,NC_052307.1,74022875,46.5294,7.52175,-39.007650000000005,3,4,12.0,0.04974599072150299,0.9266860194365075,True,False,hypo_siscowet
NC_052307.1:74022888,NC_052307.1,74022888,43.0755,7.244325,-35.831175,3,4,12.0,0.04974599072150299,0.9266860194365075,True,False,hypo_siscowet
NC_052307.1:74023299,NC_052307.1,74023299,87.61073333333333,54.9716,-32.63913333333333,3,4,12.0,0.04974599072150299,0.9266860194365075,True,False,hypo_siscowet
NC_052307.1:74189867,NC_052307.1,74189867,7.0238175,34.701724999999996,27.677907499999996,4,4,0.0,0.029401048190339642,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:74223763,NC_052307.1,74223763,29.403399999999998,71.047275,41.643875,4,4,0.0,0.02857142857142857,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:76972787,NC_052307.1,76972787,3.5092974999999997,25.350524999999998,21.8412275,4,4,0.0,0.02857142857142857,0.9266860194365075,True,False,hyper_siscowet
NC_052307.1:77590345,NC_052307.1,77590345,100.0,83.73016666666666,-16.269833333333338,4,3,12.0,0.030065283228311607,0.9266860194365075,True,False,hypo_siscowet
NC_052307.1:77844070,NC_052307.1,77844070,100.0,82.827175,-17.172825000000003,3,4,12.0,0.04359664488554136,0.9266860194365075,True,False,hypo_siscowet
