comparison	block	n_anchors	chr_a	chr_b	orientation	anchor_idx_a	anchor_idx_b	gene_a	gene_b	evalue	chr_a_check	pos_a	chr_b_check	pos_b	chr_pair
reference_vs_lean	0	12	lnptg000003l1	rfNC0523351	plus	0	0	ln_gene-LOC120024303	rf_gene-LOC120024303	1e-100	lnptg000003l1	6010.5	rfNC0523351	12567348	lnptg000003l1 | rfNC0523351
reference_vs_lean	0	12	lnptg000003l1	rfNC0523351	plus	0	1	ln_gene-LOC120023957	rf_gene-LOC120023957	1e-100	lnptg000003l1	19828.5	rfNC0523351	12585862	lnptg000003l1 | rfNC0523351
reference_vs_lean	0	12	lnptg000003l1	rfNC0523351	plus	0	2	ln_gene-LOC120024533	rf_gene-LOC120024533	1e-100	lnptg000003l1	148624	rfNC0523351	12651585	lnptg000003l1 | rfNC0523351
reference_vs_lean	0	12	lnptg000003l1	rfNC0523351	plus	0	3	ln_gene-chga	rf_gene-chga	1e-100	lnptg000003l1	180252.5	rfNC0523351	12689016.5	lnptg000003l1 | rfNC0523351
reference_vs_lean	0	12	lnptg000003l1	rfNC0523351	plus	0	4	ln_gene-itpk1a	rf_gene-itpk1a	1e-100	lnptg000003l1	235006.5	rfNC0523351	12743792	lnptg000003l1 | rfNC0523351
reference_vs_lean	0	12	lnptg000003l1	rfNC0523351	plus	0	5	ln_gene-tmem251	rf_gene-tmem251	1e-100	lnptg000003l1	276607.5	rfNC0523351	12785397	lnptg000003l1 | rfNC0523351
reference_vs_lean	0	12	lnptg000003l1	rfNC0523351	plus	0	6	ln_gene-si:dkeyp-55f12.3	rf_gene-si:dkeyp-55f12.3	1e-100	lnptg000003l1	285053.5	rfNC0523351	12793844	lnptg000003l1 | rfNC0523351
reference_vs_lean	0	12	lnptg000003l1	rfNC0523351	plus	0	7	ln_gene-ubr7	rf_gene-ubr7	1e-100	lnptg000003l1	293768	rfNC0523351	12802557	lnptg000003l1 | rfNC0523351
reference_vs_lean	0	12	lnptg000003l1	rfNC0523351	plus	0	8	ln_gene-btbd7	rf_gene-btbd7	1e-100	lnptg000003l1	363110	rfNC0523351	12871935.5	lnptg000003l1 | rfNC0523351
reference_vs_lean	0	12	lnptg000003l1	rfNC0523351	plus	0	9	ln_gene-si:dkey-85n7.8	rf_gene-si:dkey-85n7.8	1e-100	lnptg000003l1	444373.5	rfNC0523351	12953238	lnptg000003l1 | rfNC0523351
reference_vs_lean	0	12	lnptg000003l1	rfNC0523351	plus	0	10	ln_gene-prima1	rf_gene-prima1	1e-100	lnptg000003l1	559058.5	rfNC0523351	13067906.5	lnptg000003l1 | rfNC0523351
reference_vs_lean	0	12	lnptg000003l1	rfNC0523351	plus	0	11	ln_gene-LOC120023960	rf_gene-LOC120023960	1e-100	lnptg000003l1	621065	rfNC0523351	13129818.5	lnptg000003l1 | rfNC0523351
reference_vs_lean	1	8	lnptg000004l1	rfNC0523171	plus	1	0	ln_gene-scp2a	rf_gene-scp2a	1e-100	lnptg000004l1	2387.5	rfNC0523171	38947786	lnptg000004l1 | rfNC0523171
reference_vs_lean	1	8	lnptg000004l1	rfNC0523171	plus	1	1	ln_gene-czib	rf_gene-czib	1e-100	lnptg000004l1	4811.5	rfNC0523171	38959095	lnptg000004l1 | rfNC0523171
reference_vs_lean	1	8	lnptg000004l1	rfNC0523171	plus	1	2	ln_gene-uck2b	rf_gene-uck2b	1e-100	lnptg000004l1	14115.5	rfNC0523171	38968394	lnptg000004l1 | rfNC0523171
reference_vs_lean	1	8	lnptg000004l1	rfNC0523171	plus	1	3	ln_gene-LOC120056158	rf_gene-LOC120056158	1e-100	lnptg000004l1	30519	rfNC0523171	38984764.5	lnptg000004l1 | rfNC0523171
reference_vs_lean	1	8	lnptg000004l1	rfNC0523171	plus	1	4	ln_gene-LOC120056159	rf_gene-LOC120056159	1e-100	lnptg000004l1	41464.5	rfNC0523171	38995620	lnptg000004l1 | rfNC0523171
reference_vs_lean	1	8	lnptg000004l1	rfNC0523171	plus	1	5	ln_gene-LOC120056160	rf_gene-LOC120056160	1e-100	lnptg000004l1	48772	rfNC0523171	39003010.5	lnptg000004l1 | rfNC0523171
reference_vs_lean	1	8	lnptg000004l1	rfNC0523171	plus	1	6	ln_gene-LOC120055406	rf_gene-LOC120055406	1e-100	lnptg000004l1	189993.5	rfNC0523171	39139343.5	lnptg000004l1 | rfNC0523171
reference_vs_lean	1	8	lnptg000004l1	rfNC0523171	plus	1	7	ln_gene-LOC120055666	rf_gene-LOC120055666	1e-100	lnptg000004l1	350581.5	rfNC0523171	39343105.5	lnptg000004l1 | rfNC0523171
reference_vs_lean	2	8	lnptg000006l1	rfNC0523401	plus	2	0	ln_gene-LOC120029007	rf_gene-LOC120029007	1e-100	lnptg000006l1	50331	rfNC0523401	10020809.5	lnptg000006l1 | rfNC0523401
reference_vs_lean	2	8	lnptg000006l1	rfNC0523401	plus	2	1	ln_gene-LOC120029101	rf_gene-LOC120029101	1e-100	lnptg000006l1	101927	rfNC0523401	10072496	lnptg000006l1 | rfNC0523401
reference_vs_lean	2	8	lnptg000006l1	rfNC0523401	plus	2	2	ln_gene-LOC120028632	rf_gene-LOC120028632	1e-100	lnptg000006l1	136056	rfNC0523401	10106627.5	lnptg000006l1 | rfNC0523401
reference_vs_lean	2	8	lnptg000006l1	rfNC0523401	plus	2	3	ln_gene-LOC120029100	rf_gene-LOC120029100	1e-100	lnptg000006l1	153394	rfNC0523401	10123987.5	lnptg000006l1 | rfNC0523401
reference_vs_lean	2	8	lnptg000006l1	rfNC0523401	plus	2	4	ln_gene-LOC120029083	rf_gene-LOC120029083	1e-100	lnptg000006l1	169593.5	rfNC0523401	10140156	lnptg000006l1 | rfNC0523401
reference_vs_lean	2	8	lnptg000006l1	rfNC0523401	plus	2	5	ln_gene-LOC120029164	rf_gene-LOC120029164	1e-100	lnptg000006l1	174447	rfNC0523401	10145010	lnptg000006l1 | rfNC0523401
reference_vs_lean	2	8	lnptg000006l1	rfNC0523401	plus	2	6	ln_gene-LOC120028780	rf_gene-LOC120028780	1e-100	lnptg000006l1	188683.5	rfNC0523401	10159247	lnptg000006l1 | rfNC0523401
reference_vs_lean	2	8	lnptg000006l1	rfNC0523401	plus	2	7	ln_gene-LOC120028229	rf_gene-LOC120028229	1e-100	lnptg000006l1	245894.5	rfNC0523401	10217433	lnptg000006l1 | rfNC0523401
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	0	ln_gene-LOC120018643	rf_gene-LOC120018643	1e-100	lnptg000007l1	78782.5	rfNC0523291	32353777	lnptg000007l1 | rfNC0523291
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	1	ln_gene-LOC120018795	rf_gene-LOC120018795	1e-100	lnptg000007l1	112196.5	rfNC0523291	32387207	lnptg000007l1 | rfNC0523291
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	2	ln_gene-si:ch1073-280e3.1	rf_gene-si:ch1073-280e3.1	1e-100	lnptg000007l1	152612.5	rfNC0523291	32422717	lnptg000007l1 | rfNC0523291
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	3	ln_gene-LOC120018330	rf_gene-LOC120018330	1e-100	lnptg000007l1	163820	rfNC0523291	32439190	lnptg000007l1 | rfNC0523291
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	4	ln_gene-LOC120018331	rf_gene-LOC120018331	1e-100	lnptg000007l1	169169.5	rfNC0523291	32444531	lnptg000007l1 | rfNC0523291
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	5	ln_gene-LOC120018334	rf_gene-LOC120018334	1e-100	lnptg000007l1	199380	rfNC0523291	32474794.5	lnptg000007l1 | rfNC0523291
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	6	ln_gene-LOC120018646	rf_gene-LOC120018646	1e-100	lnptg000007l1	214163.5	rfNC0523291	32489583	lnptg000007l1 | rfNC0523291
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	7	ln_gene-LOC120018647	rf_gene-LOC120018647	1e-100	lnptg000007l1	238716.5	rfNC0523291	32514142	lnptg000007l1 | rfNC0523291
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	8	ln_gene-LOC120018797	rf_gene-LOC120018797	1e-100	lnptg000007l1	251565.5	rfNC0523291	32526992	lnptg000007l1 | rfNC0523291
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	9	ln_gene-LOC120018335	rf_gene-LOC120018335	1e-100	lnptg000007l1	257424	rfNC0523291	32532863.5	lnptg000007l1 | rfNC0523291
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	10	ln_gene-LOC120018648	rf_gene-LOC120018648	1e-100	lnptg000007l1	287245.5	rfNC0523291	32562694	lnptg000007l1 | rfNC0523291
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	11	ln_gene-LOC120018336	rf_gene-LOC120018336	1e-100	lnptg000007l1	309027	rfNC0523291	32584476	lnptg000007l1 | rfNC0523291
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	12	ln_gene-LOC120018337	rf_gene-LOC120018337	1e-100	lnptg000007l1	362300.5	rfNC0523291	32637741.5	lnptg000007l1 | rfNC0523291
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	13	ln_gene-LOC120018799	rf_gene-LOC120018799	1e-100	lnptg000007l1	417670.5	rfNC0523291	32693084.5	lnptg000007l1 | rfNC0523291
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	14	ln_gene-LOC120018339	rf_gene-LOC120018339	1e-100	lnptg000007l1	432881	rfNC0523291	32708317.5	lnptg000007l1 | rfNC0523291
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	15	ln_gene-LOC120018340	rf_gene-LOC120018340	1e-100	lnptg000007l1	457360.5	rfNC0523291	32732823	lnptg000007l1 | rfNC0523291
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	16	ln_gene-LOC120018651	rf_gene-LOC120018651	1e-100	lnptg000007l1	471116	rfNC0523291	32746594.5	lnptg000007l1 | rfNC0523291
reference_vs_lean	3	18	lnptg000007l1	rfNC0523291	plus	3	17	ln_gene-LOC120018341	rf_gene-LOC120018341	1e-100	lnptg000007l1	499312.5	rfNC0523291	32990256	lnptg000007l1 | rfNC0523291
reference_vs_lean	4	7	lnptg000007l1	rfNC0523401	minus	4	0	ln_gene-si:dkey-243k1.3	rf_gene-si:dkey-243k1.3	1e-100	lnptg000007l1	108252.5	rfNC0523401	11711498	lnptg000007l1 | rfNC0523401
reference_vs_lean	4	7	lnptg000007l1	rfNC0523401	minus	4	1	ln_gene-LOC120028878	rf_gene-LOC120028878	1e-100	lnptg000007l1	145611.5	rfNC0523401	11692625	lnptg000007l1 | rfNC0523401
reference_vs_lean	4	7	lnptg000007l1	rfNC0523401	minus	4	2	ln_gene-LOC120029169	rf_gene-LOC120029169	1e-100	lnptg000007l1	185814	rfNC0523401	11657257.5	lnptg000007l1 | rfNC0523401
reference_vs_lean	4	7	lnptg000007l1	rfNC0523401	minus	4	3	ln_gene-LOC120029168	rf_gene-LOC120029168	1e-100	lnptg000007l1	187980	rfNC0523401	11644786.5	lnptg000007l1 | rfNC0523401
reference_vs_lean	4	7	lnptg000007l1	rfNC0523401	minus	4	4	ln_gene-LOC120029050	rf_gene-LOC120029050	1e-100	lnptg000007l1	227321	rfNC0523401	11588189	lnptg000007l1 | rfNC0523401
reference_vs_lean	4	7	lnptg000007l1	rfNC0523401	minus	4	5	ln_gene-LOC120029038	rf_gene-LOC120029038	1e-100	lnptg000007l1	392121	rfNC0523401	11455416.5	lnptg000007l1 | rfNC0523401
reference_vs_lean	4	7	lnptg000007l1	rfNC0523401	minus	4	6	ln_gene-LOC120028935	rf_gene-LOC120028935	1e-100	lnptg000007l1	413340.5	rfNC0523401	11448499.5	lnptg000007l1 | rfNC0523401
reference_vs_lean	5	13	lnptg000013l1	rfNC0523401	plus	5	0	ln_gene-LOC120028629	rf_gene-LOC120028629	1e-100	lnptg000013l1	563558.5	rfNC0523401	15285375	lnptg000013l1 | rfNC0523401
reference_vs_lean	5	13	lnptg000013l1	rfNC0523401	plus	5	1	ln_gene-ompa	rf_gene-ompa	1e-100	lnptg000013l1	554804.5	rfNC0523401	15276623	lnptg000013l1 | rfNC0523401
reference_vs_lean	5	13	lnptg000013l1	rfNC0523401	plus	5	2	ln_gene-LOC120028775	rf_gene-LOC120028775	1e-100	lnptg000013l1	583617	rfNC0523401	15305437.5	lnptg000013l1 | rfNC0523401
reference_vs_lean	5	13	lnptg000013l1	rfNC0523401	plus	5	3	ln_gene-dcun1d5	rf_gene-dcun1d5	1e-100	lnptg000013l1	591573.5	rfNC0523401	15313394	lnptg000013l1 | rfNC0523401
reference_vs_lean	5	13	lnptg000013l1	rfNC0523401	plus	5	4	ln_gene-LOC120028859	rf_gene-LOC120028859	1e-100	lnptg000013l1	602252	rfNC0523401	15324069.5	lnptg000013l1 | rfNC0523401
reference_vs_lean	5	13	lnptg000013l1	rfNC0523401	plus	5	5	ln_gene-LOC120029210	rf_gene-LOC120029210	1e-100	lnptg000013l1	609028.5	rfNC0523401	15330843	lnptg000013l1 | rfNC0523401
reference_vs_lean	5	13	lnptg000013l1	rfNC0523401	plus	5	6	ln_gene-kbtbd3	rf_gene-kbtbd3	1e-100	lnptg000013l1	614484.5	rfNC0523401	15336298.5	lnptg000013l1 | rfNC0523401
reference_vs_lean	5	13	lnptg000013l1	rfNC0523401	plus	5	7	ln_gene-LOC120029047	rf_gene-LOC120029047	1e-100	lnptg000013l1	624950	rfNC0523401	15346763.5	lnptg000013l1 | rfNC0523401
