comparison	block	n_anchors	chr_a	chr_b	orientation	anchor_idx_a	anchor_idx_b	gene_a	gene_b	evalue	chr_a_check	pos_a	chr_b_check	pos_b	chr_pair
lean_vs_siscowet	0	6	lnptg000001l1	siptg005353l1	plus	0	0	ln_gene-LOC120044161	si_gene-LOC120044161	1e-100	lnptg000001l1	307648.5	siptg005353l1	94798.5	lnptg000001l1 | siptg005353l1
lean_vs_siscowet	0	6	lnptg000001l1	siptg005353l1	plus	0	1	ln_gene-LOC120044160	si_gene-LOC120044160	1e-100	lnptg000001l1	323157.5	siptg005353l1	110302.5	lnptg000001l1 | siptg005353l1
lean_vs_siscowet	0	6	lnptg000001l1	siptg005353l1	plus	0	2	ln_gene-LOC120043818	si_gene-LOC120043818	1e-100	lnptg000001l1	359414.5	siptg005353l1	147372.5	lnptg000001l1 | siptg005353l1
lean_vs_siscowet	0	6	lnptg000001l1	siptg005353l1	plus	0	3	ln_gene-LOC120044726	si_gene-LOC120044726	1e-100	lnptg000001l1	364517.5	siptg005353l1	152475.5	lnptg000001l1 | siptg005353l1
lean_vs_siscowet	0	6	lnptg000001l1	siptg005353l1	plus	0	4	ln_gene-LOC120041407	si_gene-LOC120041407	1e-100	lnptg000001l1	372742	siptg005353l1	160764	lnptg000001l1 | siptg005353l1
lean_vs_siscowet	0	6	lnptg000001l1	siptg005353l1	plus	0	5	ln_gene-LOC120044087	si_gene-LOC120044087	1e-100	lnptg000001l1	382331.5	siptg005353l1	170271.5	lnptg000001l1 | siptg005353l1
lean_vs_siscowet	1	12	lnptg000003l1	siptg001956l1	plus	1	0	ln_gene-LOC120024303	si_gene-LOC120024303	1e-100	lnptg000003l1	6010.5	siptg001956l1	277797	lnptg000003l1 | siptg001956l1
lean_vs_siscowet	1	12	lnptg000003l1	siptg001956l1	plus	1	1	ln_gene-LOC120023957	si_gene-LOC120023957	1e-100	lnptg000003l1	19828.5	siptg001956l1	296312.5	lnptg000003l1 | siptg001956l1
lean_vs_siscowet	1	12	lnptg000003l1	siptg001956l1	plus	1	2	ln_gene-LOC120024533	si_gene-LOC120024533	1e-100	lnptg000003l1	148624	siptg001956l1	362019.5	lnptg000003l1 | siptg001956l1
lean_vs_siscowet	1	12	lnptg000003l1	siptg001956l1	plus	1	3	ln_gene-chga	si_gene-chga	1e-100	lnptg000003l1	180252.5	siptg001956l1	399459	lnptg000003l1 | siptg001956l1
lean_vs_siscowet	1	12	lnptg000003l1	siptg001956l1	plus	1	4	ln_gene-itpk1a	si_gene-itpk1a	1e-100	lnptg000003l1	235006.5	siptg001956l1	454206	lnptg000003l1 | siptg001956l1
lean_vs_siscowet	1	12	lnptg000003l1	siptg001956l1	plus	1	5	ln_gene-tmem251	si_gene-tmem251	1e-100	lnptg000003l1	276607.5	siptg001956l1	495802	lnptg000003l1 | siptg001956l1
lean_vs_siscowet	1	12	lnptg000003l1	siptg001956l1	plus	1	6	ln_gene-si:dkeyp-55f12.3	si_gene-si:dkeyp-55f12.3	1e-100	lnptg000003l1	285053.5	siptg001956l1	504247.5	lnptg000003l1 | siptg001956l1
lean_vs_siscowet	1	12	lnptg000003l1	siptg001956l1	plus	1	7	ln_gene-ubr7	si_gene-ubr7	1e-100	lnptg000003l1	293768	siptg001956l1	512961	lnptg000003l1 | siptg001956l1
lean_vs_siscowet	1	12	lnptg000003l1	siptg001956l1	plus	1	8	ln_gene-btbd7	si_gene-btbd7	1e-100	lnptg000003l1	363110	siptg001956l1	582321.5	lnptg000003l1 | siptg001956l1
lean_vs_siscowet	1	12	lnptg000003l1	siptg001956l1	plus	1	9	ln_gene-si:dkey-85n7.8	si_gene-si:dkey-85n7.8	1e-100	lnptg000003l1	444373.5	siptg001956l1	663605.5	lnptg000003l1 | siptg001956l1
lean_vs_siscowet	1	12	lnptg000003l1	siptg001956l1	plus	1	10	ln_gene-prima1	si_gene-prima1	1e-100	lnptg000003l1	559058.5	siptg001956l1	778321	lnptg000003l1 | siptg001956l1
lean_vs_siscowet	1	12	lnptg000003l1	siptg001956l1	plus	1	11	ln_gene-LOC120023960	si_gene-LOC120023960	1e-100	lnptg000003l1	621065	siptg001956l1	840372.5	lnptg000003l1 | siptg001956l1
lean_vs_siscowet	2	8	lnptg000004l1	siptg000278l1	minus	2	0	ln_gene-scp2a	si_gene-scp2a	1e-100	lnptg000004l1	2387.5	siptg000278l1	686282	lnptg000004l1 | siptg000278l1
lean_vs_siscowet	2	8	lnptg000004l1	siptg000278l1	minus	2	1	ln_gene-czib	si_gene-czib	1e-100	lnptg000004l1	4811.5	siptg000278l1	674998.5	lnptg000004l1 | siptg000278l1
lean_vs_siscowet	2	8	lnptg000004l1	siptg000278l1	minus	2	2	ln_gene-uck2b	si_gene-uck2b	1e-100	lnptg000004l1	14115.5	siptg000278l1	665694	lnptg000004l1 | siptg000278l1
lean_vs_siscowet	2	8	lnptg000004l1	siptg000278l1	minus	2	3	ln_gene-LOC120056158	si_gene-LOC120056158	1e-100	lnptg000004l1	30519	siptg000278l1	649342	lnptg000004l1 | siptg000278l1
lean_vs_siscowet	2	8	lnptg000004l1	siptg000278l1	minus	2	4	ln_gene-LOC120056159	si_gene-LOC120056159	1e-100	lnptg000004l1	41464.5	siptg000278l1	638396.5	lnptg000004l1 | siptg000278l1
lean_vs_siscowet	2	8	lnptg000004l1	siptg000278l1	minus	2	5	ln_gene-LOC120056160	si_gene-LOC120056160	1e-100	lnptg000004l1	48772	siptg000278l1	631007	lnptg000004l1 | siptg000278l1
lean_vs_siscowet	2	8	lnptg000004l1	siptg000278l1	minus	2	6	ln_gene-LOC120055406	si_gene-LOC120055406	1e-100	lnptg000004l1	189993.5	siptg000278l1	495549.5	lnptg000004l1 | siptg000278l1
