comparison	block	n_anchors	chr_a	chr_b	orientation	anchor_idx_a	anchor_idx_b	gene_a	gene_b	evalue	chr_a_check	pos_a	chr_b_check	pos_b	chr_pair
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	0	rf_gene-CXG42_mgt04	si_gene-CXG42_mgt04_1	1e-100	rfNC0363921	3859.5	siptg008245l1	15172	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	1	rf_gene-CXG42_mgt05	si_gene-CXG42_mgt05	1e-100	rfNC0363921	3928	siptg008245l1	15103.5	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	2	rf_gene-CXG42_mgt06	si_gene-CXG42_mgt06	1e-100	rfNC0363921	3997	siptg008245l1	15034.5	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	3	rf_gene-CXG42_mgp12	si_gene-CXG42_mgp12	1e-100	rfNC0363921	4556.5	siptg008245l1	14475	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	4	rf_gene-CXG42_mgt07	si_gene-CXG42_mgt07	1e-100	rfNC0363921	5117.5	siptg008245l1	13914	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	5	rf_gene-CXG42_mgt08	si_gene-CXG42_mgt08	1e-100	rfNC0363921	5189	siptg008245l1	13842.5	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	6	rf_gene-CXG42_mgt09	si_gene-CXG42_mgt09	1e-100	rfNC0363921	5261	siptg008245l1	13770.5	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	7	rf_gene-CXG42_mgt10	si_gene-CXG42_mgt10	1e-100	rfNC0363921	5367	siptg008245l1	13664.5	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	8	rf_gene-CXG42_mgt11	si_gene-CXG42_mgt11	1e-100	rfNC0363921	5436	siptg008245l1	13595.5	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	9	rf_gene-CXG42_mgp11	si_gene-CXG42_mgp11	1e-100	rfNC0363921	6248	siptg008245l1	12783.5	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	10	rf_gene-CXG42_mgt12	si_gene-CXG42_mgt12	1e-100	rfNC0363921	7059	siptg008245l1	11972.5	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	11	rf_gene-CXG42_mgt13	si_gene-CXG42_mgt13	1e-100	rfNC0363921	7135.5	siptg008245l1	11896	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	12	rf_gene-CXG42_mgp10	si_gene-CXG42_mgp10	1e-100	rfNC0363921	7532	siptg008245l1	11499.5	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	13	rf_gene-CXG42_mgt14	si_gene-CXG42_mgt14	1e-100	rfNC0363921	7914.5	siptg008245l1	11117	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	14	rf_gene-CXG42_mgp09	si_gene-CXG42_mgp09	1e-100	rfNC0363921	8036.5	siptg008245l1	10995	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	15	rf_gene-CXG42_mgp08	si_gene-CXG42_mgp08	1e-100	rfNC0363921	8452.5	siptg008245l1	10579	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	16	rf_gene-CXG42_mgp07	si_gene-CXG42_mgp07	1e-100	rfNC0363921	9186	siptg008245l1	9845.5	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	17	rf_gene-CXG42_mgt15	si_gene-CXG42_mgt15	1e-100	rfNC0363921	9613.5	siptg008245l1	9418	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	18	rf_gene-CXG42_mgp06	si_gene-CXG42_mgp06	1e-100	rfNC0363921	9823.5	siptg008245l1	9208.5	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	19	rf_gene-CXG42_mgt16	si_gene-CXG42_mgt16	1e-100	rfNC0363921	10033	siptg008245l1	8999.5	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	20	rf_gene-CXG42_mgp05	si_gene-CXG42_mgp05	1e-100	rfNC0363921	10216	siptg008245l1	8816.5	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	21	rf_gene-CXG42_mgp04	si_gene-CXG42_mgp04	1e-100	rfNC0363921	11048	siptg008245l1	7985	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	22	rf_gene-CXG42_mgt17	si_gene-CXG42_mgt17	1e-100	rfNC0363921	11773	siptg008245l1	7260.5	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	23	rf_gene-CXG42_mgt18	si_gene-CXG42_mgt18	1e-100	rfNC0363921	11842	siptg008245l1	7191.5	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	24	rf_gene-CXG42_mgt19	si_gene-CXG42_mgt19	1e-100	rfNC0363921	11914	siptg008245l1	7119.5	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	25	rf_gene-CXG42_mgp03	si_gene-CXG42_mgp03	1e-100	rfNC0363921	12870	siptg008245l1	6164	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	26	rf_gene-CXG42_mgp02	si_gene-CXG42_mgp02	1e-100	rfNC0363921	14046.5	siptg008245l1	4988	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	27	rf_gene-CXG42_mgt20	si_gene-CXG42_mgt20	1e-100	rfNC0363921	14341.5	siptg008245l1	4693	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	28	rf_gene-CXG42_mgp01	si_gene-CXG42_mgp01	1e-100	rfNC0363921	14950	siptg008245l1	4085	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	29	rf_gene-CXG42_mgt21	si_gene-CXG42_mgt21	1e-100	rfNC0363921	15556.5	siptg008245l1	3479	rfNC0363921 | siptg008245l1
reference_vs_siscowet	0	31	rfNC0363921	siptg008245l1	minus	0	30	rf_gene-CXG42_mgt22	si_gene-CXG42_mgt22	1e-100	rfNC0363921	15626.5	siptg008245l1	3409	rfNC0363921 | siptg008245l1
reference_vs_siscowet	1	17	rfNC0363921	siptg018880l1	minus	1	0	rf_gene-CXG42_mgr02	si_gene-CXG42_mgr02	1e-100	rfNC0363921	542.5	siptg018880l1	7254.5	rfNC0363921 | siptg018880l1
reference_vs_siscowet	1	17	rfNC0363921	siptg018880l1	minus	1	1	rf_gene-CXG42_mgt02	si_gene-CXG42_mgt02	1e-100	rfNC0363921	1052.5	siptg018880l1	6745	rfNC0363921 | siptg018880l1
reference_vs_siscowet	1	17	rfNC0363921	siptg018880l1	minus	1	2	rf_gene-CXG42_mgr01	si_gene-CXG42_mgr01	1e-100	rfNC0363921	1933	siptg018880l1	5864.5	rfNC0363921 | siptg018880l1
reference_vs_siscowet	1	17	rfNC0363921	siptg018880l1	minus	1	3	rf_gene-CXG42_mgt03	si_gene-CXG42_mgt03	1e-100	rfNC0363921	2810	siptg018880l1	4987.5	rfNC0363921 | siptg018880l1
reference_vs_siscowet	1	17	rfNC0363921	siptg018880l1	minus	1	4	rf_gene-CXG42_mgp13	si_gene-CXG42_mgp13	1e-100	rfNC0363921	3330	siptg018880l1	4467.5	rfNC0363921 | siptg018880l1
reference_vs_siscowet	1	17	rfNC0363921	siptg018880l1	minus	1	5	rf_gene-CXG42_mgt04	si_gene-CXG42_mgt04	1e-100	rfNC0363921	3859.5	siptg018880l1	3938	rfNC0363921 | siptg018880l1
