chrom	start	end	gene_id	score	strand
ptg000121l_1	392866	415631	gene-LOC120042129	0	+
ptg000149l_1	42398	69589	gene-LOC120050135	0	+
ptg000174l_1	1384314	1437268	gene-LOC120019576	0	-
ptg000293l_1	234369	394229	gene-cpn1	0	+
ptg000305l_1	375948	557674	gene-LOC120024458	0	-
ptg000356l_1	30667	120251	gene-triob	0	+
ptg000466l_1	624694	915369	gene-LOC120053938	0	+
ptg000557l_1	170286	201017	gene-LOC120064465	0	+
ptg000609l_1	344785	389575	gene-LOC120032210	0	-
ptg000638l_1	216918	283965	gene-LOC120048669	0	-
ptg000706l_1	868236	930972	gene-LOC120065442	0	-
ptg000718l_1	646111	740878	gene-LOC120032530	0	+
ptg000756l_1	422748	653435	gene-vps50	0	+
ptg000827l_1	136141	137128	gene-LOC120056879	0	+
ptg000866l_1	682120	713104	gene-gpia_1	0	-
ptg000945l_1	118091	345549	gene-LOC120065642	0	+
ptg000994l_1	424064	642477	gene-LOC120031305	0	+
ptg000998l_1	607713	666865	gene-LOC120017525	0	-
ptg001062l_1	129275	132550	gene-LOC120039615	0	+
ptg001175l_1	536252	600084	gene-dnah2	0	-
ptg001234l_1	252296	255667	gene-LOC120024920	0	-
ptg001409l_1	969210	1028581	gene-LOC120032728	0	-
ptg001416l_1	193656	208345	gene-LOC120044851	0	-
ptg001426l_1	89528	187249	gene-iqsec3a	0	+
ptg001464l_1	145712	221785	gene-crtc3	0	+
ptg001590l_1	872924	979317	gene-LOC120053598	0	-
ptg001636l_1	193333	205373	gene-LOC120057339	0	+
ptg001690l_1	507558	625901	gene-LOC120020909	0	+
ptg001752l_1	56856	91816	gene-LOC120045058	0	-
ptg001824l_1	2166362	2177571	gene-LOC120063528	0	-
ptg001861l_1	423776	498418	gene-LOC120031768	0	+
ptg001903l_1	0	69001	gene-LOC120038650	0	+
ptg001903l_1	71062	103222	gene-pphln1	0	-
ptg001942l_1	1129480	1189221	gene-LOC120042766	0	-
ptg001958l_1	213251	236639	gene-LOC120066294	0	-
ptg002123l_1	1557911	1675980	gene-LOC120029476	0	-
ptg002171l_1	676040	1056691	gene-LOC120060868	0	+
ptg002190l_1	1100546	1186481	gene-LOC120056235	0	-
ptg002225l_1	871	11762	gene-ttll9_1	0	-
ptg002340l_1	28764	71572	gene-mpp6b	0	+
ptg002511l_1	214729	301933	gene-LOC120020307	0	+
ptg002565l_1	164845	221278	gene-tmc6b	0	-
ptg002642l_1	281520	451914	gene-LOC120066718	0	-
ptg002820l_1	867144	1057272	gene-LOC120048047	0	+
ptg002896l_1	189590	375393	gene-LOC120066463	0	-
ptg003141l_1	151233	175444	gene-LOC120056031	0	-
ptg003151l_1	653285	661723	gene-gde1	0	+
ptg003189l_1	710101	857732	gene-LOC120046589	0	-
ptg003346l_1	313839	344233	gene-LOC120028089	0	+
ptg003346l_1	392846	414255	gene-LOC120039112	0	+
ptg003703l_1	32038	424341	gene-LOC120025537	0	+
ptg003821l_1	517198	546676	gene-LOC120056805	0	+
ptg004474l_1	168662	184957	gene-LOC120061515	0	+
ptg004607l_1	0	39206	gene-LOC120036268	0	-
ptg004679l_1	66484	177751	gene-LOC120054371	0	+
ptg005083l_1	51409	121884	gene-LOC120042986	0	-
ptg005712l_1	578985	590839	gene-LOC120035702	0	+
ptg005928l_1	155554	199591	gene-cracr2b	0	+
ptg006209l_1	29361	31446	gene-LOC120051748_32	0	+
ptg006499l_1	359401	438540	gene-tmem45a	0	+
ptg006662l_1	294507	383791	gene-LOC120032363	0	+
ptg006662l_1	297683	308110	gene-LOC120032364	0	-
ptg006756l_1	735749	822835	gene-LOC120024897	0	-
ptg007784l_1	171569	276593	gene-bco2a	0	-
ptg007972l_1	154973	193973	gene-LOC120030672	0	+
ptg008207l_1	15118	53976	gene-LOC120040161	0	+
ptg009261l_1	42550	65456	gene-LOC120019149	0	-
ptg009871l_1	120165	166430	gene-sh3yl1	0	-
ptg015876l_1	4238	11065	gene-LOC120038491	0	+
ptg017723l_1	408939	409580	gene-LOC120041427_26	0	-
ptg022429l_1	52271	57804	gene-LOC120039613_2	0	+
