chrom	start	end	gene_id	score	strand
ptg000004l_1	181131	198856	gene-LOC120055406	0	-
ptg000135l_1	1363403	1430858	gene-LOC120065085	0	-
ptg000135l_1	1431661	1528713	gene-map4k3a	0	-
ptg000173l_1	1277432	1406467	gene-ap2b1	0	-
ptg000173l_1	1765549	1822906	gene-LOC120056503	0	+
ptg000260l_1	1134788	1226863	gene-LOC120025522	0	-
ptg000301l_1	6573	31344	gene-smg6	0	+
ptg000301l_1	535865	543729	gene-LOC120021129	0	-
ptg000385l_1	822756	993298	gene-nek7	0	-
ptg000551l_1	728646	776279	gene-LOC120053718	0	+
ptg000715l_1	369081	390018	gene-dnase1l1l	0	+
ptg000764l_1	117326	141927	gene-ptprc	0	+
ptg000966l_1	0	154233	gene-asap1a	0	-
ptg000981l_1	1331827	1808569	gene-LOC120025009	0	+
ptg001002l_1	77651	255579	gene-LOC120056781	0	-
ptg001068l_1	714074	765330	gene-LOC120022070_1	0	-
ptg001292l_1	18840	37927	gene-sh2d3a	0	+
ptg001299l_1	336445	511737	gene-LOC120025549	0	-
ptg001448l_1	142598	144683	gene-LOC120051748_18	0	+
ptg001682l_1	471529	508014	gene-LOC120055734	0	-
ptg001682l_1	574419	692336	gene-LOC120055730	0	-
ptg001757l_1	1298967	1456725	gene-LOC120045630	0	+
ptg001778l_1	3858	37966	gene-LOC120040412	0	+
ptg001838l_1	40893	64136	gene-LOC120038469	0	-
ptg001840l_1	654225	655192	gene-LOC120063770_8	0	+
ptg001982l_1	18973	189662	gene-LOC120053194	0	-
ptg002037l_1	1536763	1624106	gene-LOC120062883	0	-
ptg002312l_1	1531505	1704385	gene-sugct	0	-
ptg002382l_1	102801	245511	gene-tmeff2a	0	+
ptg002732l_1	278951	284126	gene-LOC120038202	0	-
ptg003372l_1	104363	198248	gene-LOC120054763	0	-
ptg004048l_1	379525	404561	gene-LOC120041588	0	-
ptg004053l_1	314102	330752	gene-LOC120030386	0	+
ptg004419l_1	4211	230219	gene-LOC120049548	0	+
ptg004459l_1	22044	215724	gene-unc5c	0	+
ptg004689l_1	259486	338615	gene-LOC120043213	0	-
ptg004895l_1	572526	693695	gene-LOC120020198	0	+
ptg005554l_1	122630	126468	gene-LOC120034744_20	0	-
ptg005974l_1	326730	381981	gene-LOC120034415	0	+
ptg006787l_1	71883	94169	gene-LOC120027905	0	-
ptg008040l_1	67735	357124	gene-LOC120066682	0	+
ptg008674l_1	1686	43939	gene-pros1	0	+
ptg015267l_1	341325	411731	gene-LOC120063782	0	+
ptg023761l_1	106805	110219	gene-LOC120043897_11	0	+
