gene_id	symbol	product	copies_lean	copies_siscowet	n_go
gene-CXG42_mgp07	COX3		1	1	0
gene-LOC120017344	LOC120017344	threonine--tRNA ligase 1, cytoplasmic-like	1	1	4
gene-LOC120017345	LOC120017345	anthrax toxin receptor 2-like	1	1	2
gene-LOC120017346	LOC120017346	leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 1	1	1	2
gene-LOC120017347	LOC120017347	putative protein TPRXL	1	1	0
gene-LOC120017349	LOC120017349	paladin-like	1	1	0
gene-LOC120017352	LOC120017352	steroidogenic acute regulatory protein, mitochondrial-like	1	1	7
gene-LOC120017354	LOC120017354	A disintegrin and metalloproteinase with thrombospondin motifs 3-like	1	1	3
gene-LOC120017355	LOC120017355	stonustoxin subunit beta-like	1	1	1
gene-LOC120017356	LOC120017356	NLR family CARD domain-containing protein 3-like	1	1	1
gene-LOC120017357	LOC120017357	cadherin-23-like	1	1	3
gene-LOC120017359	LOC120017359	gamma-crystallin S-1-like	1	1	3
gene-LOC120017360	LOC120017360	E3 ubiquitin-protein ligase TRIM39	1	1	1
gene-LOC120017361	LOC120017361	zinc metalloproteinase nas-4-like	1	1	2
gene-LOC120017362	LOC120017362	adenosine kinase-like	1	1	4
gene-LOC120017363	LOC120017363	golgin subfamily A member 6-like protein 22	1	1	0
gene-LOC120017364	LOC120017364	high choriolytic enzyme 1-like	1	1	3
gene-LOC120017366	LOC120017366	golgin subfamily A member 6-like protein 22	1	1	0
gene-LOC120017367	LOC120017367	adenosine kinase-like	1	1	4
gene-LOC120017374	LOC120017374	palmitoyltransferase ZDHHC16A-like	1	1	3
gene-LOC120017375	LOC120017375	ubiquitin domain-containing protein 1-like	1	1	1
gene-LOC120017377	LOC120017377	pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial-like	1	1	1
gene-LOC120017378	LOC120017378	growth/differentiation factor 10-like	1	1	6
gene-LOC120017379	LOC120017379	IQ motif and ankyrin repeat domain-containing protein 1-like	1	1	4
gene-LOC120017386	LOC120017386	sorbin and SH3 domain-containing protein 1-like	1	1	5
gene-LOC120017388	LOC120017388	protein CC2D2B-like	1	1	3
gene-LOC120017389	LOC120017389	opsin-3-like	1	1	5
gene-LOC120017390	LOC120017390	homeobox protein vent1-like	1	1	1
gene-LOC120017391	LOC120017391	adhesion G protein-coupled receptor A1-like	1	1	6
gene-LOC120017392	LOC120017392	adhesion G protein-coupled receptor A3-like	1	1	5
gene-LOC120017393	LOC120017393	gamma-aminobutyric acid receptor subunit pi-like	1	1	12
gene-LOC120017395	LOC120017395	leucine-rich repeat-containing protein 27-like	1	1	1
gene-LOC120017396	LOC120017396	serine/threonine-protein kinase 32C-like	1	1	6
gene-LOC120017399	LOC120017399	alpha-2,8-sialyltransferase 8F-like	1	1	4
gene-LOC120017400	LOC120017400	alpha-2,8-sialyltransferase 8F-like	1	1	4
gene-LOC120017401	LOC120017401	transient receptor potential cation channel subfamily V member 5	1	2	4
gene-LOC120017403	LOC120017403	cullin-9-like	1	1	1
gene-LOC120017404	LOC120017404	uncharacterized LOC120017404	1	1	9
gene-LOC120017405	LOC120017405	LIM domain-binding protein 3-like	1	1	9
gene-LOC120017406	LOC120017406	inactive ubiquitin carboxyl-terminal hydrolase 54-like	1	1	2
gene-LOC120017407	LOC120017407	synaptopodin 2-like protein	1	1	5
gene-LOC120017413	LOC120017413	lymphocyte-specific helicase-like	1	1	10
gene-LOC120017414	LOC120017414	cGMP-dependent protein kinase 2-like	1	1	3
gene-LOC120017416	LOC120017416	indoleamine 2,3-dioxygenase 2-like	1	1	7
gene-LOC120017417	LOC120017417	potassium channel subfamily K member 18-like	1	1	4
gene-LOC120017418	LOC120017418	synaptic vesicular amine transporter-like	1	1	7
gene-LOC120017421	LOC120017421	rap1 GTPase-GDP dissociation stimulator 1-like	1	1	4
gene-LOC120017422	LOC120017422	rap1 GTPase-GDP dissociation stimulator 1-like	1	1	4
gene-LOC120017429	LOC120017429	uncharacterized LOC120017429	1	1	7
gene-LOC120017430	LOC120017430	protocadherin-15-like	1	1	6
gene-LOC120017431	LOC120017431	polymeric immunoglobulin receptor-like	1	1	0
gene-LOC120017432	LOC120017432	uncharacterized LOC120017432	1	1	2
gene-LOC120017434	LOC120017434	uncharacterized LOC120017434	1	1	3
gene-LOC120017435	LOC120017435	dickkopf-related protein 1-like	1	1	6
gene-LOC120017436	LOC120017436	interferon-induced protein with tetratricopeptide repeats 1-like	1	1	3
gene-LOC120017439	LOC120017439	E3 ubiquitin-protein ligase NEURL1-like	1	1	5
gene-LOC120017440	LOC120017440	VPS10 domain-containing receptor SorCS3-like	1	1	2
gene-LOC120017441	LOC120017441	homeobox protein HMX2-like	1	1	4
gene-LOC120017442	LOC120017442	homeobox protein HMX3-like	1	1	4
gene-LOC120017446	LOC120017446	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like	1	1	5
gene-LOC120017449	LOC120017449	glutathione peroxidase 6-like	1	1	2
gene-LOC120017456	LOC120017456	dnaJ homolog subfamily B member 12-like	1	1	5
gene-LOC120017462	LOC120017462	A disintegrin and metalloproteinase with thrombospondin motifs 14-like	1	1	4
gene-LOC120017466	LOC120017466	DNA-directed RNA polymerase III subunit RPC1	1	1	3
gene-LOC120017469	LOC120017469	eukaryotic translation initiation factor 3 subunit L	1	1	5
gene-LOC120017472	LOC120017472	fibroblast growth factor receptor 2-like	1	1	10
gene-LOC120017473	LOC120017473	arginyl-tRNA--protein transferase 1	1	1	3
gene-LOC120017475	LOC120017475	protein FAM160B1-like	1	1	0
gene-LOC120017476	LOC120017476	serum response factor-like	1	1	4
gene-LOC120017477	LOC120017477	inactive tyrosine-protein kinase 7-like	1	1	9
gene-LOC120017478	LOC120017478	trichohyalin-like	1	2	0
gene-LOC120017479	LOC120017479	kinesin light chain 1-like	1	1	5
gene-LOC120017480	LOC120017480	target of Myb protein 1-like	2	1	6
gene-LOC120017481	LOC120017481	vicilin-like seed storage protein At2g18540	1	1	0
gene-LOC120017482	LOC120017482	vicilin-like seed storage protein At2g18540	1	1	0
gene-LOC120017483	LOC120017483	golgin subfamily A member 6-like protein 22	1	1	0
gene-LOC120017484	LOC120017484	uncharacterized LOC120017484	1	1	0
gene-LOC120017492	LOC120017492	C-X-C motif chemokine 9-like	1	1	3
gene-LOC120017495	LOC120017495	mitogen-activated protein kinase 8-like	1	3	6
gene-LOC120017496	LOC120017496	mitogen-activated protein kinase 8-like	1	1	6
gene-LOC120017497	LOC120017497	prominin-1-A-like	1	1	6
gene-LOC120017498	LOC120017498	LIM domain-binding protein 1-like	1	1	6
gene-LOC120017499	LOC120017499	peroxisome proliferator-activated receptor gamma coactivator-related protein 1-like	1	1	6
gene-LOC120017500	LOC120017500	protein O-GlcNAcase-like	1	1	2
gene-LOC120017501	LOC120017501	suppressor of fused homolog	1	1	4
gene-LOC120017502	LOC120017502	mpv17-like protein	1	1	2
gene-LOC120017504	LOC120017504	anthrax toxin receptor 1-like	1	1	2
gene-LOC120017510	LOC120017510	protein FAM83H-like	1	1	5
gene-LOC120017512	LOC120017512	cytochrome c oxidase subunit 5B, mitochondrial	1	1	3
gene-LOC120017513	LOC120017513	NAD-dependent protein deacetylase sirtuin-1-like	1	1	1
