gene_id	symbol	product	copies_siscowet	in_lean_unmapped	n_go
gene-CXG42_mgp01	CYTB		1	Y	0
gene-CXG42_mgp02	ND6		1	Y	0
gene-CXG42_mgp03	ND5		1	Y	0
gene-CXG42_mgp04	ND4		1	Y	0
gene-CXG42_mgp05	ND4L		1	Y	0
gene-CXG42_mgp06	ND3		1	Y	0
gene-CXG42_mgp08	ATP6		1	Y	0
gene-CXG42_mgp09	ATP8		1	Y	0
gene-CXG42_mgp10	COX2		1	Y	0
gene-CXG42_mgp11	COX1		1	Y	0
gene-CXG42_mgp11_1			1		0
gene-CXG42_mgp12	ND2		1	Y	0
gene-CXG42_mgp12_1			1		0
gene-CXG42_mgp13	ND1		1	Y	0
gene-CXG42_mgr01	CXG42_mgr01	16S ribosomal RNA	1	Y	0
gene-CXG42_mgr02	CXG42_mgr02	12S ribosomal RNA	2	Y	0
gene-CXG42_mgr02_1			1		0
gene-CXG42_mgt01	CXG42_mgt01	tRNA-Phe	1	Y	0
gene-CXG42_mgt02	CXG42_mgt02	tRNA-Val	2	Y	0
gene-CXG42_mgt02_1			1		0
gene-CXG42_mgt03	CXG42_mgt03	tRNA-Leu	1	Y	0
gene-CXG42_mgt04	CXG42_mgt04	tRNA-Ile	2	Y	0
gene-CXG42_mgt04_1			1		0
gene-CXG42_mgt05	CXG42_mgt05	tRNA-Gln	2	Y	0
gene-CXG42_mgt05_1			1		0
gene-CXG42_mgt06	CXG42_mgt06	tRNA-Met	2	Y	0
gene-CXG42_mgt06_1			1		0
gene-CXG42_mgt07	CXG42_mgt07	tRNA-Trp	2	Y	0
gene-CXG42_mgt07_1			1		0
gene-CXG42_mgt08	CXG42_mgt08	tRNA-Ala	2	Y	0
gene-CXG42_mgt08_1			1		0
gene-CXG42_mgt09	CXG42_mgt09	tRNA-Asn	2	Y	0
gene-CXG42_mgt09_1			1		0
gene-CXG42_mgt10	CXG42_mgt10	tRNA-Cys	2	Y	0
gene-CXG42_mgt10_1			1		0
gene-CXG42_mgt11	CXG42_mgt11	tRNA-Tyr	2	Y	0
gene-CXG42_mgt11_1			1		0
gene-CXG42_mgt12	CXG42_mgt12	tRNA-Ser	2	Y	0
gene-CXG42_mgt12_1			1		0
gene-CXG42_mgt13	CXG42_mgt13	tRNA-Asp	2	Y	0
gene-CXG42_mgt13_1			1		0
gene-CXG42_mgt14	CXG42_mgt14	tRNA-Lys	1	Y	0
gene-CXG42_mgt15	CXG42_mgt15	tRNA-Gly	1	Y	0
gene-CXG42_mgt16	CXG42_mgt16	tRNA-Arg	1	Y	0
gene-CXG42_mgt17	CXG42_mgt17	tRNA-His	1	Y	0
gene-CXG42_mgt18	CXG42_mgt18	tRNA-Ser	1	Y	0
gene-CXG42_mgt19	CXG42_mgt19	tRNA-Leu	1	Y	0
gene-CXG42_mgt20	CXG42_mgt20	tRNA-Glu	1	Y	0
gene-CXG42_mgt21	CXG42_mgt21	tRNA-Thr	1	Y	0
gene-CXG42_mgt22	CXG42_mgt22	tRNA-Pro	1	Y	0
gene-LOC120017353	LOC120017353	stromal membrane-associated protein 1-like	1	Y	3
gene-LOC120017365	LOC120017365	high choriolytic enzyme 1-like	1	Y	3
gene-LOC120017370	LOC120017370	centromere protein K-like	1	Y	3
gene-LOC120017401_1			1		0
gene-LOC120017433	LOC120017433	opioid growth factor receptor-like protein 1	1	Y	2
gene-LOC120017437	LOC120017437	transcription initiation factor TFIID subunit 5-like	1	Y	4
gene-LOC120017443	LOC120017443	polymeric immunoglobulin receptor-like	1	Y	0
gene-LOC120017445	LOC120017445	ATP synthase membrane subunit DAPIT, mitochondrial-like	1	Y	1
gene-LOC120017447	LOC120017447	F-box/LRR-repeat protein 15-like	1	Y	3
gene-LOC120017459	LOC120017459	protein RRP5 homolog	1	Y	6
gene-LOC120017478_1			1		0
gene-LOC120017495_1			1		0
gene-LOC120017495_2			1		0
gene-LOC120017647_1			1		0
gene-LOC120017647_2			1		0
gene-LOC120017684_1			1		0
gene-LOC120017769	LOC120017769	galectin-related protein-like	1	Y	1
gene-LOC120017770_1			1		0
gene-LOC120017775	LOC120017775	ABC transporter G family member 23-like	1	Y	6
gene-LOC120017778	LOC120017778	FERM domain-containing protein 6-like	1	Y	3
gene-LOC120017795	LOC120017795	G-protein coupled receptor 26-like	1	Y	3
gene-LOC120017807_1			1		0
gene-LOC120017807_2			1		0
gene-LOC120017807_3			1		0
gene-LOC120017807_4			1		0
gene-LOC120017807_5			1		0
gene-LOC120017807_6			1		0
gene-LOC120017815_10			1		0
gene-LOC120017815_11			1		0
gene-LOC120017815_12			1		0
gene-LOC120017815_13			1		0
gene-LOC120017815_14			1		0
gene-LOC120017815_15			1		0
gene-LOC120017815_16			1		0
gene-LOC120017815_17			1		0
gene-LOC120017815_18			1		0
gene-LOC120017815_19			1		0
gene-LOC120017815_5			1		0
gene-LOC120017815_6			1		0
gene-LOC120017815_7			1		0
gene-LOC120017815_8			1		0
gene-LOC120017815_9			1		0
gene-LOC120017821	LOC120017821	polymeric immunoglobulin receptor-like	1	Y	2
gene-LOC120017826_1			1		0
gene-LOC120017851_1			1		0
gene-LOC120017851_2			1		0
gene-LOC120017866	LOC120017866	probable methyltransferase TARBP1	1	Y	3
gene-LOC120017868	LOC120017868	uncharacterized LOC120017868	1	Y	0
gene-LOC120017881_1			1		0
gene-LOC120017881_2			1		0
gene-LOC120017885_1			1		0
gene-LOC120017900_1			1		0
gene-LOC120017908_1			1		0
gene-LOC120017911_4			1		0
gene-LOC120017911_5			1		0
gene-LOC120017911_6			1		0
gene-LOC120017911_7			1		0
gene-LOC120017932_2			1		0
gene-LOC120017932_3			1		0
gene-LOC120017932_4			1		0
gene-LOC120017932_5			1		0
gene-LOC120017932_6			1		0
gene-LOC120017951_4			1		0
gene-LOC120017951_5			1		0
gene-LOC120017967_7			1		0
gene-LOC120017967_8			1		0
gene-LOC120017967_9			1		0
gene-LOC120017972_3			1		0
gene-LOC120017972_4			1		0
gene-LOC120017972_5			1		0
gene-LOC120017972_6			1		0
gene-LOC120017972_7			1		0
gene-LOC120017992	LOC120017992	histone H2A	1	Y	4
