gene_id	symbol	product	copies_lean	in_siscowet_unmapped	n_go
gene-LOC120017348	LOC120017348	A disintegrin and metalloproteinase with thrombospondin motifs 14-like	1	Y	4
gene-LOC120017351	LOC120017351	pyroglutamylated RF-amide peptide receptor-like	1	Y	3
gene-LOC120017380	LOC120017380	protein DPCD-like	1	Y	0
gene-LOC120017397	LOC120017397	WW domain binding protein 1-like	1	Y	0
gene-LOC120017408	LOC120017408	arsenite methyltransferase-like	1	Y	5
gene-LOC120017426	LOC120017426	cytosolic purine 5'-nucleotidase-like	1	Y	1
gene-LOC120017450	LOC120017450	uncharacterized LOC120017450	1	Y	0
gene-LOC120017465	LOC120017465	myosin heavy chain, fast skeletal muscle-like	1	Y	4
gene-LOC120017480_1			1		0
gene-LOC120017640_1			1		0
gene-LOC120017648_1			1		0
gene-LOC120017705	LOC120017705	ubiquitin-40S ribosomal protein S27a	1	Y	9
gene-LOC120017721	LOC120017721	CREB3 regulatory factor-like	1	Y	5
gene-LOC120017751	LOC120017751	neurofilament heavy polypeptide-like	1	Y	6
gene-LOC120017755	LOC120017755	catechol O-methyltransferase domain-containing protein 1-like	1	Y	2
gene-LOC120017787_1			1		0
gene-LOC120017787_2			1		0
gene-LOC120017787_3			1		0
gene-LOC120017787_4			1		0
gene-LOC120017787_5			1		0
gene-LOC120017841	LOC120017841	neurofilament medium polypeptide-like	1	Y	6
gene-LOC120017858	LOC120017858	ABC transporter G family member 23-like	1	Y	2
gene-LOC120017867	LOC120017867	protein FAM135A-like	1	Y	1
gene-LOC120017870_12			1		0
gene-LOC120017871	LOC120017871	uncharacterized LOC120017871	1	Y	0
gene-LOC120017876_1			1		0
gene-LOC120017877	LOC120017877	uncharacterized LOC120017877	1	Y	0
gene-LOC120017878_1			1		0
gene-LOC120017878_2			1		0
gene-LOC120017878_3			1		0
gene-LOC120017880	LOC120017880	F-box/LRR-repeat protein 15	1	Y	3
gene-LOC120017954	LOC120017954	prolyl-tRNA synthetase associated domain-containing protein 1-like	1	Y	1
gene-LOC120017969	LOC120017969	fumarate hydratase, mitochondrial-like	1	Y	6
gene-LOC120017970	LOC120017970	putative thiamine transporter SLC35F3	1	Y	3
gene-LOC120017974	LOC120017974	galectin-related protein-like	1	Y	1
gene-LOC120017989	LOC120017989	uncharacterized LOC120017989	1	Y	0
gene-LOC120017990	LOC120017990	uncharacterized LOC120017990	1	Y	0
gene-LOC120018151	LOC120018151	syntaxin-10-like	1	Y	2
gene-LOC120018157	LOC120018157	H-2 class II histocompatibility antigen, A-Q alpha chain-like	1	Y	6
gene-LOC120018265_1			1		0
gene-LOC120018265_2			1		0
gene-LOC120018277_1			1		0
gene-LOC120018338	LOC120018338	myosin heavy chain, fast skeletal muscle-like	1	Y	4
gene-LOC120018348	LOC120018348	uncharacterized LOC120018348	1	Y	4
gene-LOC120018358	LOC120018358	tapasin-related protein-like	1	Y	0
gene-LOC120018359	LOC120018359	gem-associated protein 4-like	1	Y	3
gene-LOC120018360	LOC120018360	TLC domain-containing protein 3A-like	1	Y	3
gene-LOC120018364	LOC120018364	serine/arginine repetitive matrix protein 2-like	1	Y	1
gene-LOC120018452	LOC120018452	zinc finger protein 501-like	1	Y	3
gene-LOC120018572	LOC120018572	sodium-independent sulfate anion transporter-like	1	Y	4
gene-LOC120018624_1			1		0
gene-LOC120018624_2			1		0
gene-LOC120018827	LOC120018827	N-sulphoglucosamine sulphohydrolase-like	1	Y	3
gene-LOC120018863	LOC120018863	zinc finger protein 595-like	1	Y	0
gene-LOC120018887	LOC120018887	zinc finger protein 180-like	1	Y	0
gene-LOC120019052	LOC120019052	oocyte zinc finger protein XlCOF6-like	1	Y	3
gene-LOC120019065	LOC120019065	zinc finger protein 239-like	1	Y	4
gene-LOC120019133_1			1		0
gene-LOC120019140	LOC120019140	histone chaperone asf1b-B-like	1	Y	3
gene-LOC120019167	LOC120019167	transcription factor MafG-like	1	Y	5
gene-LOC120019203	LOC120019203	neuropeptide B-like	1	Y	3
gene-LOC120019226_2			1		0
gene-LOC120019226_3			1		0
