Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,strain,tissue
SRR3321200,RNA-Seq,36,452725200,PRJNA316738,SAMN04590683,Model organism or animal,342307143,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",adult,Lean nonparasitized,SRX1674116,Illumina Genome Analyzer IIx,NPLL32_R1,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,NPLL,pooled male and female,SRP072750,2,Liver
SRR3321201,RNA-Seq,36,222478092,PRJNA316738,SAMN04590683,Model organism or animal,168495306,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",adult,Lean nonparasitized,SRX1674117,Illumina Genome Analyzer IIx,NPLL34_R1,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,NPLL,pooled male and female,SRP072750,2,Liver
SRR3321202,RNA-Seq,36,271730268,PRJNA316738,SAMN04590685,Model organism or animal,205885026,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",adult,Sicowet nonparasitized,SRX1674118,Illumina Genome Analyzer IIx,NPSL50_R1,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,NPSL,pooled male and female,SRP072750,4,Liver
SRR3321203,RNA-Seq,36,479238192,PRJNA316738,SAMN04590685,Model organism or animal,362550631,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",adult,Sicowet nonparasitized,SRX1674119,Illumina Genome Analyzer IIx,NPSL58_R1,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,NPSL,pooled male and female,SRP072750,4,Liver
SRR3321204,RNA-Seq,36,206605260,PRJNA316738,SAMN04590682,Model organism or animal,156607052,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",adult,Lean parasitized,SRX1674120,Illumina Genome Analyzer IIx,PLL20_R1,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,PLL,pooled male and female,SRP072750,1,Liver
SRR3321205,RNA-Seq,36,437997132,PRJNA316738,SAMN04590682,Model organism or animal,330049381,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",adult,Lean parasitized,SRX1674121,Illumina Genome Analyzer IIx,PLL31_R1,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,PLL,pooled male and female,SRP072750,1,Liver
SRR3321206,RNA-Seq,36,496566900,PRJNA316738,SAMN04590682,Model organism or animal,374789339,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",adult,Lean parasitized,SRX1674122,Illumina Genome Analyzer IIx,PLL43_R1,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,PLL,pooled male and female,SRP072750,1,Liver
SRR3321207,RNA-Seq,36,325493424,PRJNA316738,SAMN04590682,Model organism or animal,247834721,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",adult,Lean parasitized,SRX1674123,Illumina Genome Analyzer IIx,PLL55_R1,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,PLL,pooled male and female,SRP072750,1,Liver
SRR3321208,RNA-Seq,36,214941852,PRJNA316738,SAMN04590682,Model organism or animal,163893625,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",adult,Lean parasitized,SRX1674124,Illumina Genome Analyzer IIx,PLL59_R1,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,PLL,pooled male and female,SRP072750,1,Liver
SRR3321209,RNA-Seq,36,275686128,PRJNA316738,SAMN04590682,Model organism or animal,207851044,UNIVERSITY OF WISCONSIN MILWAUKEE,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",adult,Lean parasitized,SRX1674125,Illumina Genome Analyzer IIx,PLL62_R1,SINGLE,cDNA,TRANSCRIPTOMIC,Salvelinus namaycush,ILLUMINA,2016-07-06T00:00:00Z,PLL,pooled male and female,SRP072750,1,Liver
