comparison	chr_a	chr_b	anchors
reference_vs_lean	lnptg002419l1	rfNC0523081	279
reference_vs_lean	lnptg003529l1	rfNC0523081	198
reference_vs_lean	lnptg010230l1	rfNW0240584641	156
reference_vs_lean	lnptg002267l1	rfNW0240611641	124
reference_vs_lean	lnptg004079l1	rfNW0240601281	112
reference_vs_lean	lnptg004588l1	rfNW0240592601	105
reference_vs_lean	lnptg000907l1	rfNC0523141	104
reference_vs_lean	lnptg000282l1	rfNC0523221	91
reference_vs_lean	lnptg000817l1	rfNC0523371	90
reference_vs_lean	lnptg000136l1	rfNC0523101	88
reference_vs_lean	lnptg000734l1	rfNC0523151	88
reference_vs_lean	lnptg000534l1	rfNC0523221	86
reference_vs_lean	lnptg000502l1	rfNC0523241	83
reference_vs_lean	lnptg001215l1	rfNC0523441	83
reference_vs_lean	lnptg000498l1	rfNC0523081	81
reference_vs_lean	lnptg000357l1	rfNC0523431	78
reference_vs_lean	lnptg000191l1	rfNC0523261	76
reference_vs_lean	lnptg000368l1	rfNC0523151	74
reference_vs_lean	lnptg002247l1	rfNC0523231	73
reference_vs_lean	lnptg002262l1	rfNC0523191	73
reference_vs_lean	lnptg000074l1	rfNC0523191	71
reference_vs_lean	lnptg000219l1	rfNC0523321	70
reference_vs_lean	lnptg000458l1	rfNC0523291	70
reference_vs_lean	lnptg001856l1	rfNC0523361	70
reference_vs_lean	lnptg001916l1	rfNC0523461	69
reference_vs_lean	lnptg002864l1	rfNC0523311	69
reference_vs_lean	lnptg001352l1	rfNC0523111	68
reference_vs_lean	lnptg001018l1	rfNC0523091	66
reference_vs_lean	lnptg001429l1	rfNC0523351	65
reference_vs_lean	lnptg000135l1	rfNC0523081	63
reference_vs_lean	lnptg000397l1	rfNC0523121	60
reference_vs_lean	lnptg001436l1	rfNC0523211	60
reference_vs_lean	lnptg000849l1	rfNC0523201	59
reference_vs_lean	lnptg003377l1	rfNC0523121	59
reference_vs_lean	lnptg000477l1	rfNC0523221	58
reference_vs_lean	lnptg001276l1	rfNC0523221	58
reference_vs_lean	lnptg002125l1	rfNC0523431	58
reference_vs_lean	lnptg000222l1	rfNC0523251	57
reference_vs_lean	lnptg000529l1	rfNC0523181	57
reference_vs_lean	lnptg000547l1	rfNC0523211	57
reference_vs_lean	lnptg000269l1	rfNC0523111	56
reference_vs_lean	lnptg002049l1	rfNC0523321	56
reference_vs_lean	lnptg004710l1	rfNC0523211	56
reference_vs_lean	lnptg000349l1	rfNC0523221	55
reference_vs_lean	lnptg000991l1	rfNC0523381	55
reference_vs_lean	lnptg002493l1	rfNC0523451	55
reference_vs_lean	lnptg002511l1	rfNC0523311	55
reference_vs_lean	lnptg000391l1	rfNC0523171	54
reference_vs_lean	lnptg001049l1	rfNC0523111	54
reference_vs_lean	lnptg001777l1	rfNC0523221	54
reference_vs_lean	lnptg001887l1	rfNC0523071	54
reference_vs_lean	lnptg000260l1	rfNC0523371	52
reference_vs_lean	lnptg000453l1	rfNC0523221	52
reference_vs_lean	lnptg000736l1	rfNC0523141	52
reference_vs_lean	lnptg003048l1	rfNC0523111	52
reference_vs_lean	lnptg004175l1	rfNC0523341	52
reference_vs_lean	lnptg005651l1	rfNC0523231	52
reference_vs_lean	lnptg000016l1	rfNC0523271	51
reference_vs_lean	lnptg000409l1	rfNC0523181	51
reference_vs_lean	lnptg002147l1	rfNC0523351	51
reference_vs_lean	lnptg001022l1	rfNC0523441	50
reference_vs_lean	lnptg000115l1	rfNC0523081	49
reference_vs_lean	lnptg000272l1	rfNC0523321	49
reference_vs_lean	lnptg000610l1	rfNC0523181	49
reference_vs_lean	lnptg004049l1	rfNW0240592601	49
reference_vs_lean	lnptg000413l1	rfNC0523371	48
reference_vs_lean	lnptg001602l1	rfNC0523081	48
reference_vs_lean	lnptg002975l1	rfNC0523111	48
reference_vs_lean	lnptg000321l1	rfNC0523321	47
reference_vs_lean	lnptg000788l1	rfNC0523141	47
reference_vs_lean	lnptg001475l1	rfNC0523341	47
reference_vs_lean	lnptg002202l1	rfNC0523091	47
reference_vs_lean	lnptg012204l1	rfNC0523071	47
reference_vs_lean	lnptg000046l1	rfNC0523261	46
reference_vs_lean	lnptg000119l1	rfNC0523161	46
reference_vs_lean	lnptg000181l1	rfNC0523081	46
reference_vs_lean	lnptg000415l1	rfNC0523161	46
reference_vs_lean	lnptg000663l1	rfNC0523071	46
reference_vs_lean	lnptg001328l1	rfNC0523071	46
reference_vs_lean	lnptg000350l1	rfNC0523311	45
reference_vs_lean	lnptg000533l1	rfNC0523411	45
reference_vs_lean	lnptg000571l1	rfNC0523251	45
reference_vs_lean	lnptg001009l1	rfNC0523471	45
reference_vs_lean	lnptg001246l1	rfNC0523281	45
reference_vs_lean	lnptg001754l1	rfNC0523091	45
reference_vs_lean	lnptg001878l1	rfNC0523321	45
reference_vs_lean	lnptg000023l1	rfNC0523231	44
reference_vs_lean	lnptg000120l1	rfNC0523081	44
reference_vs_lean	lnptg000143l1	rfNC0523091	44
reference_vs_lean	lnptg000183l1	rfNC0523201	44
reference_vs_lean	lnptg000664l1	rfNC0523161	44
reference_vs_lean	lnptg000687l1	rfNC0523171	44
reference_vs_lean	lnptg000901l1	rfNC0523181	44
reference_vs_lean	lnptg000361l1	rfNC0523411	43
reference_vs_lean	lnptg000481l1	rfNC0523301	43
reference_vs_lean	lnptg000546l1	rfNC0523361	43
reference_vs_lean	lnptg001313l1	rfNC0523181	43
reference_vs_lean	lnptg000021l1	rfNC0523101	42
reference_vs_lean	lnptg000173l1	rfNC0523181	42
reference_vs_lean	lnptg000781l1	rfNC0523251	42
reference_vs_lean	lnptg000934l1	rfNC0523221	42
reference_vs_lean	lnptg001092l1	rfNC0523291	42
reference_vs_lean	lnptg001350l1	rfNC0523311	42
reference_vs_lean	lnptg003767l1	rfNC0523201	42
reference_vs_lean	lnptg021190l1	rfNW0240577441	42
reference_vs_lean	lnptg000093l1	rfNC0523271	41
reference_vs_lean	lnptg000100l1	rfNC0523301	41
reference_vs_lean	lnptg000341l1	rfNC0523311	41
reference_vs_lean	lnptg000432l1	rfNC0523471	41
reference_vs_lean	lnptg000971l1	rfNC0523381	41
reference_vs_lean	lnptg001295l1	rfNC0523071	41
reference_vs_lean	lnptg002255l1	rfNC0523311	41
reference_vs_lean	lnptg007864l1	rfNC0523081	41
reference_vs_lean	lnptg000506l1	rfNC0523281	40
reference_vs_lean	lnptg000681l1	rfNC0523081	40
reference_vs_lean	lnptg001585l1	rfNC0523071	40
reference_vs_lean	lnptg002396l1	rfNC0523091	40
reference_vs_lean	lnptg000122l1	rfNC0523121	39
reference_vs_lean	lnptg000293l1	rfNC0523071	39
reference_vs_lean	lnptg000465l1	rfNC0523151	39
reference_vs_lean	lnptg000633l1	rfNC0523091	39
reference_vs_lean	lnptg001376l1	rfNC0523091	39
reference_vs_lean	lnptg001493l1	rfNC0523171	39
reference_vs_lean	lnptg001570l1	rfNC0523191	39
reference_vs_lean	lnptg002254l1	rfNC0523381	39
reference_vs_lean	lnptg003768l1	rfNC0523481	39
reference_vs_lean	lnptg005352l1	rfNC0523331	39
reference_vs_lean	lnptg000246l1	rfNC0523151	38
reference_vs_lean	lnptg000528l1	rfNC0523091	38
reference_vs_lean	lnptg002733l1	rfNC0523101	38
reference_vs_lean	lnptg018907l1	rfNC0523121	38
reference_vs_lean	lnptg000033l1	rfNC0523071	37
reference_vs_lean	lnptg000198l1	rfNC0523071	37
reference_vs_lean	lnptg000482l1	rfNC0523111	37
reference_vs_lean	lnptg000569l1	rfNC0523401	37
reference_vs_lean	lnptg000739l1	rfNC0523131	37
reference_vs_lean	lnptg001342l1	rfNC0523121	37
reference_vs_lean	lnptg001990l1	rfNC0523271	37
reference_vs_lean	lnptg002280l1	rfNC0523301	37
