gene_id	symbol	product	biotype	n_go	n_lines	has_phase2_line	reciprocal_pav	ecotype_only	cnv	sv	dmr	ref_pav
gene-LOC120017348	LOC120017348	A disintegrin and metalloproteinase with thrombospondin motifs 14-like	protein_coding	4	3	1	0	1	0	1	0	1
gene-LOC120017775	LOC120017775	ABC transporter G family member 23-like	protein_coding	6	3	1	0	1	0	1	0	1
gene-LOC120017932	LOC120017932	histone H1	protein_coding	4	3	1	0	0	1	1	1	0
gene-LOC120017972	LOC120017972	histone H3	protein_coding	4	3	1	0	0	1	1	1	0
gene-LOC120017974	LOC120017974	galectin-related protein-like	protein_coding	1	3	1	0	1	0	1	0	1
gene-LOC120018007	LOC120018007	histone H2A	protein_coding	4	3	1	0	0	1	1	1	0
gene-LOC120018068	LOC120018068	histone H4	protein_coding	5	3	1	0	0	1	1	1	0
gene-LOC120018277	LOC120018277	uncharacterized LOC120018277	lncRNA	0	3	1	0	0	1	1	0	1
gene-LOC120020067	LOC120020067	corticotropin-releasing factor receptor 2	protein_coding	10	3	1	0	0	1	1	0	1
gene-LOC120022255	LOC120022255	NACHT, LRR and PYD domains-containing protein 3-like	protein_coding	1	3	1	0	0	1	1	0	1
gene-LOC120022969	LOC120022969	vam6/Vps39-like protein	protein_coding	6	3	1	0	1	0	1	0	1
gene-LOC120022978	LOC120022978		V_segment	0	3	1	0	1	0	1	0	1
gene-LOC120023423	LOC120023423	zinc finger protein 239-like	protein_coding	3	3	1	0	1	0	1	0	1
gene-LOC120023487	LOC120023487	slit homolog 1 protein-like	protein_coding	6	3	1	0	1	0	1	0	1
gene-LOC120024764	LOC120024764	ADAMTS-like protein 1	protein_coding	3	3	1	0	1	0	1	0	1
gene-LOC120024769	LOC120024769	pro-interleukin-16-like	protein_coding	4	3	1	0	1	0	1	0	1
gene-LOC120024894	LOC120024894	cysteine--tRNA ligase, cytoplasmic-like	protein_coding	4	3	1	0	1	0	1	0	1
gene-LOC120024897	LOC120024897	cGMP-inhibited 3',5'-cyclic phosphodiesterase B-like	protein_coding	5	3	1	1	1	0	1	0	0
gene-LOC120024918	LOC120024918	transmembrane channel-like protein 3	protein_coding	2	3	1	0	1	0	1	0	1
gene-LOC120024927	LOC120024927	stAR-related lipid transfer protein 5-like	protein_coding	1	3	1	0	1	0	1	0	1
gene-LOC120025009	LOC120025009	protein kinase C-binding protein NELL1-like	protein_coding	2	3	1	1	0	0	1	0	1
gene-LOC120025200	LOC120025200	RNA-binding protein MEX3B-like	protein_coding	1	3	1	0	1	0	1	0	1
gene-LOC120025207	LOC120025207	lamin-L(III)-like	protein_coding	0	3	1	0	1	0	1	0	1
gene-LOC120025342	LOC120025342	transcription factor SOX-6-like	protein_coding	7	3	1	0	1	0	1	0	1
gene-LOC120025363	LOC120025363	AT-rich interactive domain-containing protein 3B-like	protein_coding	3	3	1	0	1	0	1	0	1
gene-LOC120029395	LOC120029395	tripartite motif-containing protein 35-like	protein_coding	2	3	1	0	1	0	1	0	1
gene-LOC120029476	LOC120029476	KH domain-containing, RNA-binding, signal transduction-associated protein 2-like	protein_coding	4	3	1	1	0	0	1	0	1
gene-LOC120029815	LOC120029815	tripartite motif-containing protein 35-like	protein_coding	2	3	1	0	1	0	1	0	1
gene-LOC120030058	LOC120030058	tripartite motif-containing protein 35-like	protein_coding	2	3	1	0	1	0	1	0	1
gene-LOC120031262	LOC120031262	hepcidin	protein_coding	3	3	1	0	1	0	1	0	1
gene-LOC120031263	LOC120031263	hepcidin-like	protein_coding	3	3	1	0	1	0	1	0	1
gene-LOC120031281	LOC120031281	cytochrome b5 reductase 4	protein_coding	5	3	1	0	1	0	1	0	1
gene-LOC120031419	LOC120031419	nucleolar GTP-binding protein 2-like	protein_coding	2	3	1	0	1	0	1	0	1
gene-LOC120031600	LOC120031600	sialic acid-binding Ig-like lectin 5	protein_coding	0	3	1	0	1	0	1	0	1
gene-LOC120031773	LOC120031773	N-acylneuraminate cytidylyltransferase-like	protein_coding	1	3	1	0	1	0	1	0	1
gene-LOC120032071	LOC120032071	zinc finger protein 800-like	protein_coding	0	3	1	0	1	0	1	0	1
gene-LOC120032256	LOC120032256	solute carrier family 41 member 2-like	protein_coding	3	3	1	0	1	0	1	0	1
gene-LOC120032297	LOC120032297	protein O-mannosyl-transferase TMTC1-like	protein_coding	4	3	1	0	1	0	1	0	1
gene-LOC120032827	LOC120032827	mitoferrin-2-like	protein_coding	3	3	1	0	1	0	1	0	1
gene-LOC120033005	LOC120033005	uncharacterized LOC120033005	lncRNA	0	3	1	0	0	1	1	0	1
gene-LOC120033173	LOC120033173	neuropilin-2-like	protein_coding	6	3	1	0	1	0	1	0	1
gene-LOC120033436	LOC120033436	aryl hydrocarbon receptor-like	protein_coding	6	3	1	0	1	0	1	0	1
gene-LOC120033586	LOC120033586	POU domain, class 2, transcription factor 1-like	protein_coding	3	3	1	0	0	1	1	0	1
gene-LOC120033896	LOC120033896	small G protein signaling modulator 3-like	protein_coding	1	3	1	0	1	0	1	1	0
gene-LOC120034415	LOC120034415	inactive rhomboid protein 1-like	protein_coding	4	3	1	1	1	0	1	0	0
gene-LOC120034862	LOC120034862	protein glass-like	protein_coding	1	3	1	0	1	0	1	0	1
gene-LOC120034877	LOC120034877	zinc finger protein with KRAB and SCAN domains 1-like	protein_coding	1	3	1	0	1	0	1	0	1
