gene_id	symbol	geneid	biotype	chrom	start	end	strand	is_named	product	n_go	go_bp	go_mf	go_cc	go_terms
gene-CXG42_mgp01	CYTB	35115228	protein_coding	NC_036392.1	14380	15520	+	1		0	0	0	0	
gene-CXG42_mgp02	ND6	35115193	protein_coding	NC_036392.1	13786	14307	-	1		0	0	0	0	
gene-CXG42_mgp03	ND5	35115227	protein_coding	NC_036392.1	11951	13789	+	1		0	0	0	0	
gene-CXG42_mgp04	ND4	35115204	protein_coding	NC_036392.1	10358	11738	+	1		0	0	0	0	
gene-CXG42_mgp05	ND4L	35115224	protein_coding	NC_036392.1	10068	10364	+	1		0	0	0	0	
gene-CXG42_mgp06	ND3	35115223	protein_coding	NC_036392.1	9649	9998	+	1		0	0	0	0	
gene-CXG42_mgp07	COX3	35115201	protein_coding	NC_036392.1	8794	9578	+	1		0	0	0	0	
gene-CXG42_mgp08	ATP6	35115205	protein_coding	NC_036392.1	8111	8794	+	1		0	0	0	0	
gene-CXG42_mgp09	ATP8	35115222	protein_coding	NC_036392.1	7953	8120	+	1		0	0	0	0	
gene-CXG42_mgp10	COX2	35115221	protein_coding	NC_036392.1	7187	7877	+	1		0	0	0	0	
gene-CXG42_mgp11	COX1	35115219	protein_coding	NC_036392.1	5473	7023	+	1		0	0	0	0	
gene-CXG42_mgp12	ND2	35115214	protein_coding	NC_036392.1	4032	5081	+	1		0	0	0	0	
gene-CXG42_mgp13	ND1	35115211	protein_coding	NC_036392.1	2843	3817	+	1		0	0	0	0	
gene-CXG42_mgr01	CXG42_mgr01	35115209	rRNA	NC_036392.1	1089	2777	+	1	16S ribosomal RNA	0	0	0	0	
gene-CXG42_mgr02	CXG42_mgr02	35115207	rRNA	NC_036392.1	69	1016	+	1	12S ribosomal RNA	0	0	0	0	
gene-CXG42_mgt01	CXG42_mgt01	35115206	tRNA	NC_036392.1	1	68	+	1	tRNA-Phe	0	0	0	0	
gene-CXG42_mgt02	CXG42_mgt02	35115208	tRNA	NC_036392.1	1017	1088	+	1	tRNA-Val	0	0	0	0	
gene-CXG42_mgt03	CXG42_mgt03	35115210	tRNA	NC_036392.1	2778	2842	+	1	tRNA-Leu	0	0	0	0	
gene-CXG42_mgt04	CXG42_mgt04	35115198	tRNA	NC_036392.1	3824	3895	+	1	tRNA-Ile	0	0	0	0	
gene-CXG42_mgt05	CXG42_mgt05	35115212	tRNA	NC_036392.1	3893	3963	-	1	tRNA-Gln	0	0	0	0	
gene-CXG42_mgt06	CXG42_mgt06	35115213	tRNA	NC_036392.1	3963	4031	+	1	tRNA-Met	0	0	0	0	
gene-CXG42_mgt07	CXG42_mgt07	35115197	tRNA	NC_036392.1	5083	5152	+	1	tRNA-Trp	0	0	0	0	
gene-CXG42_mgt08	CXG42_mgt08	35115215	tRNA	NC_036392.1	5155	5223	-	1	tRNA-Ala	0	0	0	0	
gene-CXG42_mgt09	CXG42_mgt09	35115216	tRNA	NC_036392.1	5225	5297	-	1	tRNA-Asn	0	0	0	0	
gene-CXG42_mgt10	CXG42_mgt10	35115217	tRNA	NC_036392.1	5334	5400	-	1	tRNA-Cys	0	0	0	0	
gene-CXG42_mgt11	CXG42_mgt11	35115218	tRNA	NC_036392.1	5401	5471	+	1	tRNA-Tyr	0	0	0	0	
gene-CXG42_mgt12	CXG42_mgt12	35115194	tRNA	NC_036392.1	7024	7094	-	1	tRNA-Ser	0	0	0	0	
gene-CXG42_mgt13	CXG42_mgt13	35115220	tRNA	NC_036392.1	7099	7172	+	1	tRNA-Asp	0	0	0	0	
gene-CXG42_mgt14	CXG42_mgt14	35115200	tRNA	NC_036392.1	7878	7951	+	1	tRNA-Lys	0	0	0	0	
gene-CXG42_mgt15	CXG42_mgt15	35115199	tRNA	NC_036392.1	9579	9648	+	1	tRNA-Gly	0	0	0	0	
gene-CXG42_mgt16	CXG42_mgt16	35115203	tRNA	NC_036392.1	9999	10067	+	1	tRNA-Arg	0	0	0	0	
gene-CXG42_mgt17	CXG42_mgt17	35115195	tRNA	NC_036392.1	11739	11807	+	1	tRNA-His	0	0	0	0	
gene-CXG42_mgt18	CXG42_mgt18	35115225	tRNA	NC_036392.1	11808	11876	+	1	tRNA-Ser	0	0	0	0	
gene-CXG42_mgt19	CXG42_mgt19	35115226	tRNA	NC_036392.1	11878	11950	+	1	tRNA-Leu	0	0	0	0	
gene-CXG42_mgt20	CXG42_mgt20	35115202	tRNA	NC_036392.1	14308	14375	-	1	tRNA-Glu	0	0	0	0	
gene-CXG42_mgt21	CXG42_mgt21	35115196	tRNA	NC_036392.1	15521	15592	+	1	tRNA-Thr	0	0	0	0	
gene-CXG42_mgt22	CXG42_mgt22	35115229	tRNA	NC_036392.1	15592	15661	-	1	tRNA-Pro	0	0	0	0	
gene-LOC120017344	LOC120017344	120017344	protein_coding	NC_052307.1	13938	48855	+	0	threonine--tRNA ligase 1, cytoplasmic-like	4	1	2	1	GO:0004829|GO:0005524|GO:0005737|GO:0006435
gene-LOC120017345	LOC120017345	120017345	protein_coding	NC_052307.1	1319267	1456571	-	0	anthrax toxin receptor 2-like	2	0	1	1	GO:0016020|GO:0038023
gene-LOC120017346	LOC120017346	120017346	protein_coding	NC_052328.1	3024510	3033579	-	0	leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 1	2	0	1	1	GO:0005515|GO:0005789
gene-LOC120017347	LOC120017347	120017347	protein_coding	NC_052328.1	2244064	2257853	+	0	putative protein TPRXL	0	0	0	0	
gene-LOC120017348	LOC120017348	120017348	protein_coding	NC_052328.1	2265496	2372099	+	0	A disintegrin and metalloproteinase with thrombospondin motifs 14-like	4	2	1	1	GO:0004222|GO:0006508|GO:0030198|GO:0031012
gene-LOC120017349	LOC120017349	120017349	protein_coding	NC_052328.1	2514008	2558834	-	0	paladin-like	0	0	0	0	
gene-LOC120017350	LOC120017350	120017350	pseudogene	NC_052328.1	2565106	2586150	+	0		0	0	0	0	
gene-LOC120017351	LOC120017351	120017351	protein_coding	NC_052328.1	2809117	2815697	-	0	pyroglutamylated RF-amide peptide receptor-like	3	1	1	1	GO:0004983|GO:0007186|GO:0016020
gene-LOC120017352	LOC120017352	120017352	protein_coding	NC_052328.1	2895245	2912219	+	0	steroidogenic acute regulatory protein, mitochondrial-like	7	3	2	2	GO:0005739|GO:0005758|GO:0006694|GO:0015485|GO:0032367|GO:0050810|GO:0120020
gene-LOC120017353	LOC120017353	120017353	protein_coding	NC_052308.1	70196952	70204846	+	0	stromal membrane-associated protein 1-like	3	1	2	0	GO:0005096|GO:0046872|GO:2000369
