site_id	chrom	pos	meth_diff	direction	gene_id	symbol	product	biotype	location_class	in_promoter	exon_overlap	distance_bp
NC_052307.1:35135444	NC_052307.1	35135444	15.14	hyper_siscowet	gene-zmat4a	zmat4a	zinc finger, matrin-type 4a	protein_coding	intron	0	0	0
NC_052307.1:54460200	NC_052307.1	54460200	-17.76	hypo_siscowet	gene-c6ast1	c6ast1	six-cysteine containing astacin protease 1	protein_coding	promoter	1	0	1177
NC_052307.1:73031017	NC_052307.1	73031017	24.56	hyper_siscowet	gene-LOC120056826	LOC120056826	major histocompatibility complex class I-related gene protein-like	protein_coding	promoter	1	1	0
NC_052307.1:73663234	NC_052307.1	73663234	-16.22	hypo_siscowet	gene-LOC120048704	LOC120048704	cocaine- and amphetamine-regulated transcript protein	protein_coding	downstream<=5kb	0	0	2176
NC_052307.1:73663234	NC_052307.1	73663234	-16.22	hypo_siscowet	gene-LOC120048640	LOC120048640	CDKN2A interacting protein	protein_coding	downstream<=5kb	0	0	3738
NC_052307.1:73730772	NC_052307.1	73730772	-17.92	hypo_siscowet	gene-iqgap1	iqgap1	IQ motif containing GTPase activating protein 1	protein_coding	intron	0	0	0
NC_052307.1:73743405	NC_052307.1	73743405	-23.17	hypo_siscowet	gene-iqgap1	iqgap1	IQ motif containing GTPase activating protein 1	protein_coding	intron	0	0	0
NC_052307.1:73743407	NC_052307.1	73743407	-20.56	hypo_siscowet	gene-iqgap1	iqgap1	IQ motif containing GTPase activating protein 1	protein_coding	intron	0	0	0
NC_052307.1:74022875	NC_052307.1	74022875	-39.01	hypo_siscowet	gene-LOC120048690	LOC120048690	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1-like	protein_coding	downstream<=5kb	0	0	3143
NC_052307.1:74022888	NC_052307.1	74022888	-35.83	hypo_siscowet	gene-LOC120048690	LOC120048690	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1-like	protein_coding	downstream<=5kb	0	0	3130
NC_052307.1:74023299	NC_052307.1	74023299	-32.64	hypo_siscowet	gene-LOC120048690	LOC120048690	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1-like	protein_coding	downstream<=5kb	0	0	2719
NC_052307.1:74189867	NC_052307.1	74189867	27.68	hyper_siscowet	gene-spg21	spg21	SPG21 abhydrolase domain containing, maspardin	protein_coding	intron	0	0	0
NC_052307.1:77590345	NC_052307.1	77590345	-16.27	hypo_siscowet	gene-LOC120049334	LOC120049334	RNA-binding protein with multiple splicing 2-like	protein_coding	intron	0	0	0
NC_052307.1:77844070	NC_052307.1	77844070	-17.17	hypo_siscowet	gene-LOC120049416	LOC120049416	paired amphipathic helix protein Sin3a-like	protein_coding	upstream<=5kb	0	0	4169
NC_052307.1:78811369	NC_052307.1	78811369	-16.85	hypo_siscowet	gene-prrg4	prrg4	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)	protein_coding	promoter	1	0	1155
NC_052307.1:78811369	NC_052307.1	78811369	-16.85	hypo_siscowet	gene-eif3m	eif3m	eukaryotic translation initiation factor 3, subunit M	protein_coding	downstream<=5kb	0	0	3466
NC_052307.1:78814058	NC_052307.1	78814058	-29.74	hypo_siscowet	gene-qser1	qser1	glutamine and serine rich 1	protein_coding	upstream<=5kb	0	0	4789
NC_052307.1:78814058	NC_052307.1	78814058	-29.74	hypo_siscowet	gene-prrg4	prrg4	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)	protein_coding	promoter	1	0	0
NC_052307.1:78816762	NC_052307.1	78816762	-35.95	hypo_siscowet	gene-qser1	qser1	glutamine and serine rich 1	protein_coding	upstream<=5kb	0	0	2085
NC_052307.1:78816762	NC_052307.1	78816762	-35.95	hypo_siscowet	gene-prrg4	prrg4	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)	protein_coding	exon	0	1	0
NC_052307.1:81192465	NC_052307.1	81192465	-30.66	hypo_siscowet	gene-coro2ba	coro2ba	coronin, actin binding protein, 2Ba	protein_coding	downstream<=5kb	0	0	3095
NC_052307.1:81192465	NC_052307.1	81192465	-30.66	hypo_siscowet	gene-anp32a	anp32a	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	protein_coding	intron	0	0	0
NC_052308.1:25798849	NC_052308.1	25798849	-22.44	hypo_siscowet	gene-shank3a	shank3a	SH3 and multiple ankyrin repeat domains 3a	protein_coding	intron	0	0	0
NC_052308.1:26203304	NC_052308.1	26203304	-21.26	hypo_siscowet	gene-shank3a	shank3a	SH3 and multiple ankyrin repeat domains 3a	protein_coding	intron	0	0	0
NC_052308.1:40388831	NC_052308.1	40388831	-17.57	hypo_siscowet	gene-trnak-uuu-30	trnak-uuu	tRNA-Lys	tRNA	upstream<=5kb	0	0	4843
NC_052308.1:40388831	NC_052308.1	40388831	-17.57	hypo_siscowet	gene-trnaw-cca-39	trnaw-cca	tRNA-Trp	tRNA	downstream<=5kb	0	0	4623
NC_052308.1:40388831	NC_052308.1	40388831	-17.57	hypo_siscowet	gene-trnak-uuu-29	trnak-uuu	tRNA-Lys	tRNA	upstream<=5kb	0	0	4174
NC_052308.1:40388831	NC_052308.1	40388831	-17.57	hypo_siscowet	gene-trnaw-cca-38	trnaw-cca	tRNA-Trp	tRNA	downstream<=5kb	0	0	3954
NC_052308.1:40388831	NC_052308.1	40388831	-17.57	hypo_siscowet	gene-trnak-uuu-28	trnak-uuu	tRNA-Lys	tRNA	upstream<=5kb	0	0	3505
NC_052308.1:40388831	NC_052308.1	40388831	-17.57	hypo_siscowet	gene-trnaw-cca-37	trnaw-cca	tRNA-Trp	tRNA	downstream<=5kb	0	0	3285
NC_052308.1:40388831	NC_052308.1	40388831	-17.57	hypo_siscowet	gene-trnak-uuu-27	trnak-uuu	tRNA-Lys	tRNA	upstream<=5kb	0	0	2834
NC_052308.1:40388831	NC_052308.1	40388831	-17.57	hypo_siscowet	gene-trnaw-cca-36	trnaw-cca	tRNA-Trp	tRNA	downstream<=5kb	0	0	2613
NC_052308.1:40388831	NC_052308.1	40388831	-17.57	hypo_siscowet	gene-trnak-uuu-26	trnak-uuu	tRNA-Lys	tRNA	upstream<=5kb	0	0	2162
NC_052308.1:40388831	NC_052308.1	40388831	-17.57	hypo_siscowet	gene-trnaw-cca-35	trnaw-cca	tRNA-Trp	tRNA	downstream<=5kb	0	0	1943
NC_052308.1:40388831	NC_052308.1	40388831	-17.57	hypo_siscowet	gene-trnak-uuu-25	trnak-uuu	tRNA-Lys	tRNA	promoter	1	0	1497
NC_052308.1:40388831	NC_052308.1	40388831	-17.57	hypo_siscowet	gene-trnaw-cca-34	trnaw-cca	tRNA-Trp	tRNA	promoter	1	0	1277
NC_052308.1:40388831	NC_052308.1	40388831	-17.57	hypo_siscowet	gene-trnak-uuu-24	trnak-uuu	tRNA-Lys	tRNA	promoter	1	0	826
NC_052308.1:40388831	NC_052308.1	40388831	-17.57	hypo_siscowet	gene-trnaw-cca-33	trnaw-cca	tRNA-Trp	tRNA	promoter	1	0	606
NC_052308.1:40388831	NC_052308.1	40388831	-17.57	hypo_siscowet	gene-trnak-uuu-23	trnak-uuu	tRNA-Lys	tRNA	promoter	1	0	155
NC_052308.1:40388831	NC_052308.1	40388831	-17.57	hypo_siscowet	gene-trnaw-cca-32	trnaw-cca	tRNA-Trp	tRNA	promoter	1	0	0
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnaw-cca-47	trnaw-cca	tRNA-Trp	tRNA	upstream<=5kb	0	0	4909
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnak-uuu-37	trnak-uuu	tRNA-Lys	tRNA	downstream<=5kb	0	0	4040
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnaw-cca-46	trnaw-cca	tRNA-Trp	tRNA	downstream<=5kb	0	0	3740
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnak-uuu-36	trnak-uuu	tRNA-Lys	tRNA	upstream<=5kb	0	0	3288
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnaw-cca-45	trnaw-cca	tRNA-Trp	tRNA	downstream<=5kb	0	0	3068
NC_052308.1:40394414	NC_052308.1	40394414	-22.30	hypo_siscowet	gene-trnak-uuu-35	trnak-uuu	tRNA-Lys	tRNA	upstream<=5kb	0	0	2618
