dmr_id	chrom	dmr_start	dmr_end	direction	meth_diff	n_cpgs	gene_id	symbol	product	biotype	location_class	in_promoter	exon_overlap	gene_body_overlap	distance_bp	n_go
DMR_2	NC_052308.1	72362697	72363096	hyper_siscowet	18.13	13	gene-LOC120017961	LOC120017961	histone H1-like	protein_coding	downstream<=5kb	0	0	0	4351	4
DMR_2	NC_052308.1	72362697	72363096	hyper_siscowet	18.13	13	gene-LOC120018007	LOC120018007	histone H2A	protein_coding	downstream<=5kb	0	0	0	3217	4
DMR_2	NC_052308.1	72362697	72363096	hyper_siscowet	18.13	13	gene-LOC120017972	LOC120017972	histone H3	protein_coding	downstream<=5kb	0	0	0	2241	4
DMR_2	NC_052308.1	72362697	72363096	hyper_siscowet	18.13	13	gene-LOC120018068	LOC120018068	histone H4	protein_coding	upstream<=5kb	0	0	0	2251	5
DMR_2	NC_052308.1	72362697	72363096	hyper_siscowet	18.13	13	gene-LOC120027990	LOC120027990	histone H2B	protein_coding	upstream<=5kb	0	0	0	3219	4
DMR_2	NC_052308.1	72362697	72363096	hyper_siscowet	18.13	13	gene-LOC120017932	LOC120017932	histone H1	protein_coding	upstream<=5kb	0	0	0	4818	4
DMR_4	NC_052309.1	97923272	97923394	hyper_siscowet	16.51	3	gene-LOC120043843	LOC120043843	septin-9-like	protein_coding	intron	0	0	1	0	8
DMR_7	NC_052313.1	18549740	18550074	hyper_siscowet	22.93	5	gene-LOC120051056	LOC120051056	myosin-7-like	protein_coding	downstream<=5kb	0	0	0	3815	4
DMR_8	NC_052313.1	60038615	60038736	hypo_siscowet	-34.52	4	gene-LOC120051555	LOC120051555	zinc finger protein 665-like	protein_coding	promoter	1	0	0	1865	4
DMR_9	NC_052314.1	189932	190464	hyper_siscowet	22.80	12	gene-LOC120051620	LOC120051620	NACHT, LRR and PYD domains-containing protein 3-like	protein_coding	upstream<=5kb	0	0	0	2151	2
DMR_10	NC_052314.1	1013880	1014166	hypo_siscowet	-17.71	4	gene-LOC120051637	LOC120051637	alpha-mannosidase 2C1-like	protein_coding	downstream<=5kb	0	0	0	1646	3
DMR_12	NC_052315.1	361135	361204	hypo_siscowet	-17.12	3	gene-LOC120054234	LOC120054234	18S ribosomal RNA	rRNA	promoter	1	0	0	1526	0
DMR_12	NC_052315.1	361135	361204	hypo_siscowet	-17.12	3	gene-LOC120054224	LOC120054224	5.8S ribosomal RNA	rRNA	upstream<=5kb	0	0	0	3929	0
DMR_14	NC_052324.1	37597725	37597878	hypo_siscowet	-20.91	3	gene-LOC120062940	LOC120062940	calcium/calmodulin-dependent protein kinase type II subunit beta-like	protein_coding	intron	0	0	1	0	3
DMR_16	NC_052335.1	25694473	25694679	hyper_siscowet	21.88	3	gene-LOC120024464	LOC120024464	gamma-aminobutyric acid receptor subunit rho-2-like	protein_coding	downstream<=5kb	0	0	0	4161	12
